['663', '989', '195', '635', '469', '821', '771', '100', '341', '609', '392', '454', '98', '670', '683', '180', '669', '316', '161', '673', '441', '377', '113', '680', '285', '749', '430', '282', '645', '890', '684', '410', '20', '997', '516', '660', '107', '992', '819', '16']
['409', '92', '306', '59', '956', '5', '336', '198', '494', '838', '881', '241', '61', '797', '175', '993', '502', '802', '505', '712', '245', '134', '368', '963', '722', '418', '629', '185', '638', '773', '732', '401', '596', '780', '495', '130', '269', '178', '828', '309']
['468', '666', '208', '588', '151', '36', '999', '590', '340', '817', '192', '522', '62', '820', '413', '604', '562', '977', '176', '600', '13', '646', '976', '457', '37', '348', '324', '485', '649', '110', '869', '490', '870', '510', '873', '580', '918', '944', '784', '897']
['571', '356', '761', '551', '893', '967', '786', '665', '795', '232', '451', '275', '156', '297', '311', '620', '558', '861', '440', '770', '573', '118', '900', '162', '824', '545', '906', '757', '194', '581', '525', '117', '277', '259', '458', '552', '23', '317', '756', '627']
['159', '133', '695', '265', '858', '470', '406', '154', '851', '450', '60', '254', '209', '753', '775', '250', '267', '9', '816', '421', '716', '19', '866', '240', '768', '564', '386', '54', '46', '653', '713', '139', '642', '762', '986', '483', '518', '891', '122', '449']
['714', '387', '772', '305', '493', '836', '884', '287', '643', '613', '219', '625', '763', '672', '141', '850', '548', '998', '354', '829', '538', '704', '183', '567', '376', '710', '815', '755', '707', '740', '4', '980', '408', '333', '373', '321', '480', '350', '939', '818']
['841', '767', '926', '155', '530', '426', '204', '782', '32', '912', '745', '914', '808', '379', '949', '606', '196', '380', '511', '95', '433', '246', '810', '708', '536', '112', '593', '364', '928', '83', '140', '894', '371', '605', '463', '504', '362', '962', '932', '512']
['222', '832', '958', '659', '87', '179', '587', '751', '127', '385', '339', '123', '523', '791', '115', '619', '78', '193', '872', '283', '827', '849', '420', '835', '577', '853', '215', '909', '919', '97', '299', '886', '124', '626', '328', '925', '349', '313', '509', '273']
['700', '628', '101', '44', '431', '983', '664', '867', '844', '365', '150', '335', '214', '681', '79', '734', '121', '407', '736', '913', '694', '153', '584', '521', '889', '89', '18', '190', '70', '527', '319', '940', '260', '733', '812', '148', '360', '147', '201', '515']
['974', '610', '48', '244', '637', '476', '811', '575', '216', '111', '323', '58', '796', '621', '911', '472', '475', '82', '252', '988', '138', '719', '288', '361', '845', '242', '532', '934', '969', '238', '206', '31', '1', '813', '640', '359', '602', '854', '506', '135']
['99', '720', '975', '675', '639', '709', '730', '877', '228', '687', '937', '586', '106', '539', '754', '477', '622', '793', '202', '743', '800', '535', '652', '633', '42', '868', '404', '699', '662', '367', '930', '487', '563', '484', '794', '41', '258', '537', '119', '166']
['879', '53', '405', '235', '996', '3', '804', '597', '310', '737', '136', '279', '578', '248', '347', '344', '499', '871', '456', '402', '91', '559', '554', '326', '671', '726', '467', '75', '443', '298', '57', '239', '103', '230', '168', '557', '38', '301', '614', '346']
['860', '459', '439', '856', '679', '690', '308', '342', '566', '790', '739', '848', '658', '705', '501', '256', '357', '995', '428', '460', '14', '984', '329', '978', '126', '295', '105', '931', '207', '474', '24', '942', '211', '651', '555', '789', '125', '727', '774', '286']
['529', '765', '631', '941', '534', '885', '678', '33', '892', '108', '591', '266', '466', '17', '71', '691', '864', '218', '278', '896', '389', '442', '471', '302', '394', '200', '322', '595', '388', '445', '51', '594', '945', '657', '446', '7', '351', '915', '759', '611']
['473', '479', '982', '985', '447', '830', '603', '331', '34', '874', '865', '173', '711', '488', '692', '304', '801', '303', '686', '397', '549', '876', '64', '76', '330', '436', '424', '334', '667', '569', '823', '290', '72', '599', '213', '508', '21', '49', '954', '93']
['916', '798', '895', '338', '411', '792', '908', '280', '778', '598', '67', '169', '396', '293', '641', '425', '398', '104', '343', '353', '291', '312', '25', '822', '766', '852', '742', '448', '517', '682', '109', '12', '395', '28', '644', '382', '979', '137', '276', '144']
['186', '924', '399', '274', '929', '542', '846', '237', '814', '419', '500', '528', '66', '769', '345', '374', '863', '696', '648', '146', '325', '623', '129', '888', '831', '251', '414', '366', '519', '933', '904', '585', '632', '570', '991', '950', '231', '221', '847', '961']
['661', '422', '560', '907', '10', '30', '205', '167', '461', '261', '612', '114', '715', '903', '952', '721', '617', '547', '315', '416', '553', '68', '636', '634', '369', '434', '375', '541', '776', '565', '843', '80', '381', '217', '788', '574', '47', '910', '728', '358']
['255', '197', '966', '172', '452', '332', '15', '225', '520', '857', '444', '948', '6', '647', '970', '45', '543', '592', '882', '307', '803', '327', '834', '314', '826', '352', '544', '55', '229', '43', '132', '423', '412', '806', '403', '513', '706', '994', '370', '656']
['85', '781', '415', '718', '618', '84', '296', '972', '149', '514', '81', '465', '799', '489', '435', '318', '787', '294', '378', '697', '701', '546', '968', '703', '951', '257', '955', '391', '729', '253', '953', '805', '747', '607', '224', '615', '40', '427', '384', '875']
['693', '630', '779', '26', '181', '142', '86', '898', '973', '29', '987', '540', '905', '526', '922', '965', '363', '741', '855', '674', '22', '170', '842', '437', '300', '880', '263', '453', '654', '400', '760', '947', '220', '531', '960', '859', '227', '482', '0', '69']
['96', '262', '163', '496', '725', '187', '77', '268', '281', '226', '52', '717', '355', '750', '429', '561', '292', '497', '39', '455', '676', '188', '738', '417', '920', '56', '498', '785', '964', '655', '50', '839', '131', '462', '270', '27', '184', '764', '90', '990']
['878', '601', '777', '337', '887', '723', '752', '650', '116', '840', '959', '145', '88', '862', '264', '702', '550', '677', '901', '35', '533', '688', '372', '383', '249', '73', '491', '247', '833', '223', '503', '63', '582', '8', '289', '171', '946', '243', '698', '668']
['272', '432', '120', '203', '164', '320', '935', '957', '102', '685', '938', '917', '809', '492', '2', '174', '65', '758', '744', '234', '748', '478', '160', '837', '981', '936', '589', '177', '165', '128', '524', '393', '157', '556', '210', '271', '783', '390', '902', '199']
['883', '583', '143', '616', '486', '568', '921', '735', '212', '94', '579', '74', '182', '731', '11', '608', '971', '158', '189', '927', '464', '689', '576', '923', '943', '233', '899', '507', '825', '438', '724', '807', '191', '284', '572', '236', '481', '624', '746', '152']
