['180', '167', '130', '70', '187', '335']
['663', '681', '256', '496', '74', '31']
['579', '603', '62', '406', '560', '258']
['601', '691', '343', '324', '347', '540']
['633', '236', '380', '602', '162', '396']
['113', '18', '69', '513', '485', '42']
['208', '461', '72', '649', '421', '322']
['390', '244', '78', '247', '383', '186']
['26', '525', '255', '278', '230', '331']
['623', '21', '151', '527', '36', '211']
['664', '285', '618', '95', '659', '170']
['417', '407', '349', '433', '507', '133']
['374', '537', '175', '545', '582', '125']
['459', '690', '365', '161', '615', '685']
['104', '479', '628', '676', '12', '667']
['393', '670', '79', '327', '326', '450']
['565', '219', '687', '439', '356', '648']
['355', '476', '697', '44', '129', '351']
['550', '717', '573', '387', '353', '50']
['575', '512', '455', '470', '194', '97']
['566', '645', '426', '504', '316', '89']
['339', '73', '302', '702', '591', '630']
['634', '578', '569', '325', '35', '500']
['178', '143', '517', '159', '191', '56']
['516', '7', '20', '554', '225', '556']
['222', '495', '163', '392', '444', '301']
['350', '176', '112', '281', '146', '96']
['529', '672', '271', '703', '120', '308']
['226', '14', '221', '686', '318', '684']
['430', '303', '145', '214', '447', '458']
['352', '228', '701', '152', '657', '441']
['604', '595', '241', '213', '275', '423']
['372', '427', '111', '80', '66', '306']
['10', '436', '379', '68', '280', '223']
['695', '269', '202', '48', '544', '482']
['277', '76', '158', '341', '354', '216']
['402', '27', '456', '330', '63', '103']
['520', '309', '608', '286', '81', '646']
['594', '497', '290', '502', '613', '673']
['533', '201', '108', '431', '445', '51']
['680', '139', '562', '552', '329', '714']
['711', '625', '640', '245', '443', '503']
['357', '284', '404', '61', '435', '437']
['462', '451', '568', '264', '237', '570']
['253', '135', '99', '689', '82', '716']
['465', '227', '692', '571', '528', '336']
['298', '563', '288', '334', '37', '312']
['493', '484', '156', '23', '171', '694']
['534', '289', '8', '193', '257', '340']
['53', '148', '518', '508', '29', '140']
['522', '671', '361', '141', '709', '589']
['524', '509', '92', '675', '696', '218']
['85', '612', '224', '250', '382', '263']
['65', '333', '629', '134', '2', '86']
['233', '561', '122', '344', '204', '292']
['715', '304', '654', '209', '17', '190']
['291', '183', '452', '643', '477', '577']
['46', '38', '376', '198', '543', '549']
['457', '276', '25', '463', '177', '428']
['169', '107', '422', '548', '128', '442']
['478', '656', '583', '77', '642', '610']
['182', '655', '708', '173', '262', '632']
['658', '314', '617', '581', '43', '551']
['626', '547', '242', '232', '710', '668']
['136', '75', '719', '674', '542', '366']
['294', '210', '647', '188', '688', '416']
['246', '492', '683', '238', '650', '293']
['101', '320', '499', '94', '483', '398']
['15', '110', '239', '87', '117', '102']
['584', '126', '514', '272', '557', '168']
['367', '13', '195', '448', '704', '468']
['358', '132', '64', '631', '611', '473']
['71', '39', '474', '494', '181', '521']
['637', '481', '523', '47', '375', '531']
['268', '368', '526', '567', '93', '389']
['586', '287', '172', '0', '251', '328']
['488', '9', '54', '700', '119', '49']
['677', '88', '283', '319', '252', '706']
['203', '491', '666', '559', '260', '388']
['446', '45', '266', '403', '472', '124']
['370', '624', '67', '364', '378', '574']
['593', '418', '98', '234', '321', '11']
['410', '196', '620', '712', '412', '28']
['185', '627', '1', '386', '155', '91']
['391', '254', '597', '414', '718', '59']
['424', '501', '270', '429', '348', '588']
['662', '515', '212', '157', '440', '118']
['105', '90', '394', '454', '682', '32']
['299', '282', '189', '147', '33', '22']
['419', '34', '160', '415', '460', '535']
['165', '506', '660', '636', '84', '274']
['323', '599', '420', '408', '5', '174']
['123', '678', '395', '273', '261', '199']
['369', '558', '489', '315', '639', '373']
['614', '644', '40', '510', '572', '530']
['16', '538', '342', '207', '469', '150']
['707', '337', '55', '6', '432', '453']
['486', '116', '149', '131', '438', '669']
['115', '425', '154', '397', '651', '249']
['585', '313', '153', '296', '698', '539']
['598', '220', '200', '498', '137', '665']
['19', '505', '619', '553', '240', '30']
['235', '345', '215', '121', '4', '596']
['638', '295', '197', '606', '635', '592']
['192', '164', '83', '400', '229', '587']
['590', '297', '346', '127', '607', '693']
['699', '434', '217', '52', '413', '661']
['377', '363', '641', '467', '311', '205']
['359', '259', '371', '532', '653', '399']
['564', '385', '307', '138', '480', '511']
['609', '555', '487', '58', '142', '360']
['541', '713', '279', '310', '24', '305']
['60', '338', '705', '652', '384', '405']
['106', '622', '580', '409', '576', '475']
['464', '621', '616', '100', '466', '109']
['57', '411', '243', '206', '605', '265']
['231', '381', '41', '679', '362', '114']
['449', '166', '248', '519', '536', '546']
['332', '144', '300', '184', '3', '317']
