['720', '665', '183', '509', '630', '711', '533', '229', '692', '778', '41', '0', '802', '531', '346', '429', '599', '74', '637', '236', '121', '372', '628', '13', '166', '787', '586', '108', '801', '278', '495', '230', '283', '592', '480']
['817', '781', '106', '79', '815', '740', '45', '123', '593', '251', '203', '231', '468', '729', '709', '94', '714', '448', '234', '792', '226', '40', '169', '303', '530', '297', '804', '219', '112', '766', '685', '76', '557', '63', '157']
['659', '585', '356', '341', '437', '603', '397', '596', '173', '446', '691', '770', '29', '118', '777', '552', '503', '647', '459', '402', '176', '9', '855', '547', '559', '273', '345', '588', '264', '324', '739', '833', '453', '827', '425']
['845', '159', '49', '617', '149', '436', '622', '184', '349', '442', '783', '75', '351', '337', '377', '373', '569', '818', '570', '355', '644', '747', '311', '14', '163', '127', '441', '69', '109', '455', '689', '743', '694', '456', '282']
['616', '368', '295', '206', '502', '246', '488', '276', '208', '775', '464', '696', '621', '615', '762', '328', '506', '340', '574', '735', '677', '235', '816', '25', '695', '543', '90', '701', '354', '686', '294', '126', '332', '8', '780']
['308', '105', '648', '847', '587', '458', '172', '227', '419', '645', '267', '463', '724', '6', '671', '309', '828', '832', '177', '505', '540', '390', '145', '661', '205', '171', '756', '678', '287', '666', '216', '478', '367', '86', '99']
['519', '182', '624', '117', '789', '578', '107', '262', '639', '188', '67', '708', '420', '489', '70', '214', '604', '422', '57', '715', '655', '388', '444', '399', '712', '310', '635', '761', '142', '301', '305', '114', '611', '454', '380']
['327', '421', '658', '723', '248', '721', '400', '555', '699', '71', '338', '281', '11', '290', '46', '601', '697', '631', '320', '653', '181', '141', '260', '185', '844', '357', '554', '153', '430', '269', '594', '221', '209', '742', '799']
['579', '78', '760', '299', '690', '140', '632', '244', '447', '776', '508', '412', '134', '12', '426', '132', '793', '286', '795', '222', '139', '398', '551', '239', '138', '520', '810', '550', '485', '194', '698', '573', '44', '33', '662']
['507', '702', '116', '481', '211', '32', '730', '291', '516', '404', '598', '155', '364', '510', '538', '359', '353', '614', '487', '198', '417', '669', '347', '548', '348', '240', '512', '785', '626', '451', '342', '277', '513', '133', '590']
['654', '87', '633', '52', '713', '486', '199', '443', '319', '196', '571', '823', '91', '393', '673', '369', '613', '643', '321', '750', '189', '771', '462', '220', '528', '151', '225', '256', '387', '128', '152', '466', '664', '800', '237']
['186', '568', '386', '212', '271', '744', '394', '115', '304', '560', '36', '379', '562', '521', '584', '532', '527', '674', '610', '125', '378', '556', '782', '835', '807', '293', '843', '541', '146', '688', '80', '650', '81', '808', '16']
['765', '575', '360', '582', '104', '28', '20', '607', '65', '479', '68', '7', '811', '180', '66', '361', '501', '716', '693', '477', '609', '201', '755', '608', '752', '848', '21', '529', '704', '656', '202', '646', '366', '457', '836']
['250', '732', '814', '59', '703', '676', '576', '839', '450', '791', '100', '254', '164', '213', '124', '170', '514', '129', '612', '197', '675', '403', '285', '120', '407', '279', '737', '259', '154', '218', '824', '434', '535', '272', '316']
['749', '572', '408', '642', '43', '496', '842', '195', '174', '298', '563', '245', '148', '523', '465', '484', '405', '623', '261', '757', '61', '672', '539', '849', '476', '649', '831', '511', '363', '102', '670', '794', '472', '383', '370']
['162', '331', '710', '396', '64', '384', '362', '544', '589', '136', '634', '449', '144', '249', '215', '416', '375', '333', '467', '411', '252', '207', '741', '48', '600', '837', '717', '734', '17', '284', '389', '130', '820', '72', '754']
['10', '223', '391', '413', '854', '292', '343', '784', '581', '34', '726', '415', '37', '62', '636', '803', '258', '826', '482', '210', '167', '772', '718', '325', '233', '247', '318', '165', '39', '805', '352', '424', '300', '822', '687']
['95', '834', '682', '243', '97', '55', '224', '54', '663', '401', '769', '728', '445', '110', '406', '323', '85', '190', '147', '773', '302', '683', '471', '733', '564', '339', '821', '143', '606', '19', '313', '82', '813', '763', '179']
['852', '738', '263', '15', '150', '731', '175', '101', '60', '53', '431', '746', '850', '524', '759', '566', '111', '460', '409', '758', '84', '35', '58', '103', '156', '640', '841', '657', '838', '627', '93', '667', '722', '545', '289']
['583', '122', '748', '536', '31', '652', '42', '307', '595', '73', '553', '432', '602', '410', '306', '1', '89', '418', '605', '433', '238', '382', '92', '499', '829', '47', '253', '580', '270', '515', '668', '660', '113', '414', '779']
['825', '797', '4', '381', '786', '330', '376', '470', '790', '493', '549', '232', '280', '2', '651', '322', '558', '217', '819', '638', '725', '158', '620', '483', '618', '788', '228', '700', '745', '537', '24', '774', '314', '680', '191']
['178', '317', '423', '312', '358', '846', '23', '561', '474', '641', '452', '160', '119', '326', '727', '517', '619', '296', '440', '469', '591', '851', '427', '38', '435', '840', '707', '565', '768', '767', '764', '798', '385', '577', '751']
['30', '546', '274', '461', '200', '83', '27', '500', '365', '629', '796', '705', '497', '681', '275', '265', '736', '22', '706', '719', '522', '56', '428', '498', '96', '88', '625', '853', '473', '350', '26', '5', '491', '334', '18']
['392', '344', '492', '161', '266', '374', '168', '187', '475', '288', '137', '131', '534', '494', '371', '336', '518', '490', '806', '241', '684', '3', '192', '439', '526', '329', '395', '77', '204', '679', '193', '242', '268', '597', '812']
