['40', '318', '303', '797', '753', '712', '127', '367', '508', '583', '682', '539', '393', '267', '707', '134', '98', '268', '646', '50', '190', '783', '781', '131', '817', '48', '785', '622', '639', '252', '353', '572', '460', '233', '631', '270', '822', '228', '78', '30', '818', '325', '541', '684', '326', '420', '162', '26', '317', '568']
['722', '523', '344', '292', '156', '565', '278', '148', '754', '582', '5', '160', '69', '739', '588', '366', '357', '714', '462', '173', '692', '43', '365', '378', '705', '192', '21', '18', '152', '476', '593', '836', '10', '118', '243', '176', '627', '297', '168', '775', '531', '699', '745', '275', '790', '348', '700', '766', '428', '229']
['798', '787', '521', '19', '110', '517', '645', '164', '743', '824', '248', '251', '61', '740', '257', '811', '527', '580', '760', '556', '458', '551', '549', '142', '305', '596', '87', '165', '443', '151', '488', '422', '97', '133', '829', '792', '507', '616', '782', '119', '231', '559', '520', '31', '590', '482', '186', '816', '361', '266']
['188', '533', '64', '34', '247', '244', '66', '0', '313', '14', '773', '138', '129', '695', '681', '308', '529', '563', '449', '500', '602', '492', '214', '586', '784', '79', '597', '809', '595', '386', '799', '169', '193', '362', '441', '309', '213', '465', '691', '762', '174', '387', '490', '27', '763', '636', '205', '54', '37', '372']
['553', '310', '91', '338', '698', '405', '464', '259', '757', '412', '358', '271', '663', '36', '145', '279', '768', '172', '467', '85', '302', '220', '744', '125', '59', '796', '455', '264', '555', '463', '759', '29', '451', '262', '834', '484', '779', '384', '102', '346', '115', '57', '720', '107', '737', '630', '444', '402', '187', '637']
['668', '486', '438', '632', '607', '573', '633', '227', '421', '805', '812', '375', '788', '738', '644', '614', '390', '60', '89', '237', '503', '693', '494', '733', '342', '769', '516', '569', '44', '406', '144', '489', '137', '504', '552', '823', '661', '391', '532', '774', '260', '216', '576', '432', '735', '689', '778', '414', '283', '320']
['724', '764', '256', '439', '609', '226', '81', '594', '687', '618', '47', '330', '106', '154', '25', '241', '70', '197', '398', '450', '72', '650', '605', '608', '647', '706', '619', '83', '577', '312', '371', '808', '839', '345', '545', '381', '697', '409', '747', '13', '431', '544', '510', '80', '389', '7', '207', '315', '730', '715']
['369', '554', '15', '300', '665', '825', '166', '135', '201', '203', '557', '761', '474', '671', '548', '727', '293', '415', '648', '641', '341', '117', '435', '155', '370', '294', '540', '566', '139', '349', '480', '82', '355', '814', '660', '620', '200', '615', '62', '672', '686', '416', '748', '574', '306', '49', '311', '604', '558', '461']
['670', '356', '45', '146', '675', '185', '429', '171', '477', '629', '750', '828', '830', '380', '392', '202', '246', '658', '651', '65', '8', '161', '304', '17', '495', '178', '543', '502', '505', '509', '473', '732', '396', '791', '584', '71', '654', '277', '128', '281', '75', '4', '218', '328', '535', '819', '403', '32', '807', '109']
['795', '653', '433', '789', '388', '821', '802', '456', '343', '756', '445', '410', '430', '643', '481', '546', '58', '446', '209', '411', '806', '526', '617', '258', '153', '479', '329', '263', '487', '299', '469', '434', '729', '571', '530', '39', '273', '20', '291', '746', '35', '149', '221', '634', '716', '327', '457', '777', '163', '253']
['642', '678', '514', '194', '688', '624', '96', '112', '575', '696', '793', '159', '454', '11', '182', '360', '713', '734', '506', '447', '46', '413', '170', '472', '77', '598', '141', '289', '336', '513', '640', '84', '167', '290', '765', '301', '55', '234', '395', '235', '610', '690', '423', '136', '657', '751', '404', '242', '238', '236']
['673', '198', '426', '41', '379', '22', '591', '838', '180', '217', '208', '638', '51', '674', '606', '493', '322', '728', '667', '742', '261', '407', '519', '786', '130', '230', '475', '623', '680', '158', '536', '515', '741', '833', '42', '771', '749', '350', '298', '199', '820', '677', '93', '340', '550', '826', '210', '143', '801', '676']
['570', '288', '772', '385', '400', '547', '427', '562', '725', '655', '397', '585', '6', '175', '579', '99', '104', '116', '815', '56', '280', '837', '592', '351', '578', '419', '2', '721', '621', '73', '74', '424', '459', '780', '440', '382', '835', '314', '92', '215', '701', '222', '497', '442', '752', '94', '564', '399', '662', '240']
['354', '731', '478', '525', '211', '827', '383', '121', '324', '296', '339', '274', '466', '276', '359', '124', '67', '254', '656', '810', '126', '337', '538', '524', '225', '332', '111', '223', '147', '518', '53', '105', '239', '335', '123', '189', '770', '184', '567', '589', '804', '334', '666', '599', '12', '542', '471', '76', '307', '628']
['122', '560', '496', '401', '191', '708', '561', '24', '286', '68', '88', '612', '368', '587', '448', '664', '649', '522', '755', '534', '33', '723', '703', '418', '581', '803', '601', '625', '181', '377', '468', '794', '316', '800', '831', '269', '537', '776', '363', '272', '245', '813', '150', '52', '287', '157', '114', '132', '717', '108']
['319', '652', '90', '709', '195', '683', '285', '352', '86', '295', '694', '499', '711', '9', '498', '232', '63', '611', '331', '758', '1', '120', '364', '219', '323', '177', '28', '726', '103', '603', '767', '282', '702', '206', '719', '485', '224', '718', '100', '38', '501', '321', '511', '179', '16', '183', '417', '394', '333', '736']
