['16', '585', '142', '317', '884', '672', '716', '721', '773', '123', '617', '803', '7', '592', '522', '605', '140', '864', '541', '494', '378', '889', '788', '706', '379', '137', '863', '903', '458', '135', '577', '827', '895', '113', '995', '625', '670', '227', '580', '463', '840', '740', '78', '594', '844', '925', '639', '225', '272', '590', '676', '375', '929', '337', '247', '785', '498', '406', '339', '326', '286', '779', '651', '437']
['180', '450', '999', '873', '88', '714', '877', '516', '354', '330', '967', '94', '521', '876', '427', '196', '645', '90', '660', '570', '184', '426', '292', '422', '539', '564', '501', '282', '230', '3', '715', '109', '495', '615', '235', '753', '974', '738', '333', '296', '448', '563', '341', '730', '471', '669', '153', '507', '520', '830', '93', '297', '962', '302', '29', '745', '242', '156', '821', '306', '157', '953', '67', '313']
['413', '766', '393', '946', '718', '768', '523', '386', '220', '838', '500', '197', '652', '289', '301', '195', '607', '169', '726', '31', '930', '529', '117', '159', '663', '493', '128', '502', '141', '515', '423', '596', '434', '653', '835', '618', '114', '484', '250', '236', '212', '910', '786', '87', '599', '569', '611', '674', '256', '438', '968', '465', '374', '409', '244', '906', '419', '454', '42', '446', '855', '813', '215', '887']
['84', '479', '372', '777', '890', '304', '649', '733', '214', '739', '100', '158', '568', '125', '780', '960', '187', '35', '798', '717', '576', '545', '787', '627', '724', '59', '736', '404', '888', '519', '857', '489', '759', '693', '872', '917', '273', '741', '874', '547', '120', '657', '775', '356', '923', '176', '894', '602', '491', '778', '536', '828', '428', '794', '746', '345', '875', '371', '226', '776', '806', '604', '485', '188']
['349', '621', '461', '410', '980', '53', '481', '661', '845', '548', '725', '91', '510', '908', '732', '747', '961', '525', '60', '723', '37', '675', '860', '70', '985', '399', '667', '241', '205', '278', '33', '97', '319', '219', '546', '353', '834', '321', '133', '129', '445', '537', '424', '705', '902', '831', '797', '73', '190', '689', '983', '323', '763', '695', '415', '57', '774', '110', '945', '784', '854', '17', '681', '270']
['280', '540', '55', '447', '283', '131', '947', '691', '729', '848', '648', '20', '310', '796', '65', '0', '108', '713', '573', '572', '843', '2', '373', '871', '704', '973', '360', '5', '160', '886', '348', '762', '146', '300', '449', '709', '924', '328', '357', '883', '106', '398', '600', '556', '79', '121', '814', '508', '69', '271', '391', '752', '268', '783', '532', '288', '685', '327', '52', '8', '177', '164', '743', '581']
['815', '126', '232', '981', '904', '207', '927', '511', '81', '254', '632', '192', '626', '309', '103', '914', '557', '878', '430', '673', '795', '658', '403', '83', '809', '284', '22', '170', '401', '712', '988', '970', '118', '614', '816', '905', '453', '318', '462', '191', '772', '499', '892', '940', '504', '503', '637', '612', '699', '551', '697', '61', '193', '530', '998', '396', '198', '138', '432', '486', '85', '554', '332', '850']
['990', '122', '21', '989', '68', '710', '996', '982', '166', '771', '76', '921', '303', '347', '416', '802', '127', '735', '51', '764', '912', '829', '654', '355', '381', '186', '643', '222', '414', '824', '629', '870', '275', '10', '95', '593', '425', '686', '575', '742', '74', '115', '531', '211', '744', '678', '34', '790', '603', '412', '468', '932', '45', '342', '130', '476', '671', '316', '322', '880', '944', '361', '237', '9']
['749', '819', '751', '913', '559', '346', '358', '482', '754', '811', '662', '782', '907', '851', '149', '30', '528', '105', '64', '650', '820', '201', '394', '915', '429', '307', '239', '909', '997', '748', '918', '380', '18', '833', '505', '144', '259', '119', '659', '856', '48', '329', '145', '376', '1', '200', '139', '687', '616', '574', '719', '298', '249', '311', '636', '452', '956', '761', '206', '389', '143', '32', '656', '720']
['25', '804', '366', '817', '635', '631', '344', '14', '104', '163', '460', '295', '382', '49', '293', '810', '240', '727', '799', '543', '916', '325', '203', '421', '943', '229', '926', '517', '542', '897', '107', '208', '168', '837', '305', '40', '443', '161', '668', '243', '628', '862', '644', '80', '964', '62', '922', '938', '367', '936', '801', '993', '101', '682', '435', '308', '487', '609', '882', '335', '692', '680', '958', '6']
['793', '444', '466', '690', '245', '352', '285', '702', '789', '939', '75', '622', '260', '71', '513', '549', '23', '455', '707', '172', '238', '750', '867', '583', '879', '566', '935', '189', '248', '252', '588', '369', '36', '550', '700', '24', '963', '11', '666', '439', '792', '578', '178', '560', '27', '370', '514', '760', '39', '900', '269', '934', '204', '266', '952', '397', '509', '587', '767', '823', '665', '50', '228', '387']
