['798', '100', '938']
['36', '302', '30']
['220', '623', '752']
['273', '325', '493']
['792', '321', '549']
['472', '708', '783']
['201', '240', '159']
['225', '685', '654']
['85', '796', '69']
['384', '942', '912']
['176', '268', '969']
['613', '943', '254']
['944', '787', '68']
['827', '169', '644']
['804', '640', '568']
['205', '534', '288']
['379', '195', '993']
['309', '839', '120']
['849', '463', '256']
['239', '291', '928']
['458', '830', '676']
['518', '248', '168']
['231', '745', '408']
['700', '998', '324']
['445', '588', '988']
['746', '831', '516']
['369', '175', '238']
['173', '860', '192']
['530', '251', '511']
['682', '243', '294']
['415', '484', '157']
['675', '665', '397']
['680', '241', '810']
['271', '642', '172']
['876', '442', '554']
['438', '186', '14']
['465', '494', '179']
['207', '940', '365']
['450', '59', '543']
['33', '19', '650']
['757', '990', '850']
['693', '337', '997']
['576', '648', '150']
['118', '349', '838']
['23', '888', '767']
['258', '566', '117']
['556', '223', '502']
['855', '138', '163']
['257', '308', '128']
['886', '848', '821']
['581', '528', '71']
['927', '606', '601']
['835', '833', '922']
['83', '647', '214']
['453', '577', '297']
['880', '919', '548']
['802', '574', '557']
['289', '455', '544']
['260', '413', '598']
['81', '246', '281']
['187', '276', '34']
['143', '353', '561']
['747', '667', '509']
['600', '870', '340']
['913', '759', '79']
['213', '343', '372']
['584', '75', '538']
['501', '404', '760']
['512', '227', '962']
['616', '585', '218']
['389', '270', '245']
['80', '236', '130']
['432', '689', '864']
['823', '22', '99']
['925', '890', '124']
['468', '645', '946']
['394', '868', '347']
['440', '233', '671']
['57', '403', '891']
['361', '44', '229']
['904', '984', '563']
['582', '899', '525']
['805', '341', '330']
['391', '4', '131']
['151', '346', '694']
['133', '395', '499']
['898', '355', '885']
['338', '869', '738']
['749', '217', '144']
['255', '399', '427']
['929', '621', '452']
['964', '761', '770']
['166', '837', '5']
['643', '587', '141']
['129', '9', '72']
['624', '313', '782']
['149', '934', '741']
['960', '728', '322']
['562', '196', '819']
['134', '311', '193']
['174', '795', '110']
['705', '808', '991']
['123', '690', '758']
['125', '190', '426']
['529', '32', '142']
['127', '194', '930']
['285', '914', '272']
['779', '112', '298']
['471', '344', '279']
['416', '750', '896']
['378', '436', '704']
['732', '348', '424']
['65', '560', '966']
['975', '400', '208']
['230', '573', '679']
['58', '316', '894']
['428', '407', '813']
['847', '901', '820']
['280', '162', '18']
['352', '559', '727']
['818', '945', '419']
['13', '420', '266']
['111', '871', '204']
['951', '93', '250']
['663', '976', '269']
['373', '164', '451']
['267', '906', '877']
['571', '448', '815']
['604', '422', '504']
['660', '513', '954']
['651', '295', '879']
['883', '367', '986']
['76', '716', '814']
['916', '113', '981']
['800', '965', '332']
['614', '106', '398']
['649', '753', '608']
['116', '769', '299']
['764', '722', '35']
['412', '210', '51']
['122', '16', '806']
['635', '696', '319']
['533', '74', '907']
['532', '773', '775']
['354', '237', '282']
['967', '917', '619']
['961', '766', '589']
['423', '457', '459']
['555', '315', '594']
['836', '199', '46']
['726', '221', '625']
['678', '905', '126']
['952', '508', '89']
['296', '345', '197']
['333', '656', '96']
['160', '449', '771']
['895', '370', '185']
['284', '822', '956']
['652', '715', '228']
['638', '707', '674']
['781', '817', '634']
['709', '659', '718']
['102', '622', '434']
['510', '39', '181']
['874', '447', '683']
['631', '595', '371']
['586', '212', '61']
['887', '70', '467']
['653', '10', '318']
['29', '25', '364']
['627', '558', '43']
['840', '790', '191']
['932', '639', '115']
['421', '774', '547']
['744', '751', '474']
['418', '924', '446']
['865', '506', '470']
['183', '64', '719']
['743', '86', '583']
['786', '103', '816']
['429', '303', '958']
['165', '94', '489']
['466', '858', '641']
['948', '970', '261']
['42', '155', '892']
['517', '632', '872']
['409', '339', '564']
['963', '861', '778']
['536', '435', '522']
['98', '755', '490']
['476', '875', '697']
['8', '170', '797']
['146', '49', '388']
['161', '45', '38']
['3', '135', '723']
['867', '658', '188']
['703', '327', '550']
['77', '460', '711']
['590', '385', '154']
['278', '615', '312']
['920', '669', '259']
['17', '889', '733']
['629', '145', '274']
['949', '662', '978']
['710', '156', '7']
['411', '980', '277']
['377', '357', '203']
['483', '6', '832']
['982', '37', '799']
['691', '63', '495']
['107', '565', '684']
['603', '780', '184']
['226', '262', '375']
['119', '936', '263']
['140', '911', '350']
['841', '101', '200']
['374', '487', '772']
['359', '729', '402']
['53', '947', '655']
['264', '609', '475']
['167', '762', '136']
['78', '552', '730']
['50', '351', '12']
['242', '569', '95']
['24', '108', '84']
['974', '492', '717']
['748', '701', '443']
['878', '633', '507']
['688', '114', '803']
['301', '602', '26']
['784', '535', '215']
['342', '67', '177']
['618', '82', '105']
['931', '152', '28']
['637', '977', '356']
['844', '380', '153']
['461', '392', '283']
['73', '687', '664']
['62', '971', '417']
['677', '383', '845']
['56', '396', '842']
['957', '198', '720']
['21', '620', '406']
['596', '908', '314']
['521', '731', '599']
['148', '498', '286']
['910', '481', '854']
['592', '92', '953']
['578', '754', '425']
['469', '918', '503']
['290', '794', '575']
['926', '232', '935']
['900', '234', '247']
['950', '809', '252']
['873', '702', '132']
['724', '20', '546']
['992', '756', '473']
['807', '363', '607']
['989', '853', '88']
['736', '310', '856']
['382', '686', '567']
['431', '763', '579']
['973', '433', '206']
['362', '265', '287']
['202', '366', '52']
['87', '410', '209']
['48', '824', '937']
['323', '317', '597']
['414', '1', '306']
['90', '244', '27']
['553', '857', '326']
['788', '739', '987']
['983', '692', '541']
['180', '527', '617']
['915', '0', '405']
['851', '923', '612']
['765', '551', '97']
['41', '570', '235']
['828', '591', '572']
['846', '777', '249']
['292', '189', '478']
['137', '897', '995']
['444', '630', '464']
['523', '862', '11']
['520', '171', '477']
['611', '580', '401']
['334', '540', '610']
['158', '360', '331']
['485', '793', '881']
['903', '725', '2']
['40', '811', '486']
['496', '456', '661']
['47', '104', '539']
['390', '972', '515']
['593', '60', '909']
['933', '737', '488']
['812', '742', '526']
['211', '672', '994']
['893', '636', '387']
['605', '307', '882']
['500', '866', '358']
['300', '393', '826']
['91', '275', '430']
['514', '776', '698']
['979', '222', '699']
['519', '801', '15']
['368', '305', '721']
['524', '941', '219']
['673', '955', '902']
['335', '336', '713']
['768', '863', '441']
['740', '139', '735']
['852', '968', '834']
['253', '670', '996']
['329', '109', '454']
['320', '121', '531']
['31', '178', '545']
['386', '479', '843']
['439', '825', '829']
['293', '734', '304']
['147', '182', '985']
['681', '505', '791']
['542', '66', '497']
['789', '706', '216']
['668', '224', '54']
['381', '695', '884']
['328', '921', '462']
['657', '785', '646']
['999', '714', '959']
['376', '480', '55']
['626', '628', '859']
['482', '939', '666']
['712', '437', '537']
