['385', '559', '656', '948', '420', '569', '372', '466', '586', '582', '894', '952', '163', '265', '707', '935', '524', '1', '793', '862', '861', '955', '871', '384', '837', '626', '628', '29', '667', '326', '905', '108']
['872', '193', '336', '691', '831', '10', '849', '649', '886', '909', '794', '520', '767', '765', '92', '240', '43', '398', '958', '263', '217', '605', '290', '120', '321', '394', '428', '885', '863', '128', '93', '828']
['61', '474', '522', '704', '223', '576', '880', '875', '343', '754', '134', '350', '519', '299', '374', '152', '676', '256', '48', '712', '158', '868', '666', '155', '485', '62', '678', '513', '171', '961', '511', '888']
['781', '47', '181', '423', '19', '590', '608', '758', '116', '439', '701', '641', '126', '144', '954', '416', '175', '248', '842', '411', '647', '693', '413', '206', '231', '435', '632', '639', '847', '83', '270', '21']
['891', '424', '500', '501', '393', '149', '577', '706', '58', '330', '579', '498', '920', '335', '484', '950', '744', '674', '216', '697', '552', '346', '598', '487', '550', '892', '210', '746', '882', '272', '480', '312']
['273', '344', '469', '359', '309', '341', '182', '114', '355', '529', '368', '251', '688', '609', '317', '140', '926', '636', '209', '259', '570', '801', '851', '348', '298', '740', '682', '252', '125', '404', '138', '323']
['710', '253', '819', '956', '610', '789', '136', '916', '295', '94', '594', '410', '933', '204', '401', '331', '777', '555', '437', '538', '779', '755', '51', '333', '407', '726', '302', '449', '268', '382', '212', '736']
['72', '797', '482', '164', '483', '717', '505', '638', '277', '521', '135', '242', '73', '554', '612', '35', '201', '565', '215', '400', '658', '176', '129', '622', '496', '911', '932', '127', '664', '633', '716', '241']
['366', '180', '589', '329', '858', '203', '773', '27', '651', '54', '503', '855', '745', '720', '276', '601', '669', '82', '284', '545', '915', '943', '89', '910', '14', '798', '887', '153', '923', '371', '723', '426']
['815', '655', '422', '588', '516', '714', '211', '225', '450', '900', '749', '267', '497', '419', '671', '857', '822', '829', '319', '246', '388', '95', '553', '599', '491', '245', '462', '581', '713', '300', '841', '28']
['361', '672', '759', '465', '192', '20', '81', '711', '315', '85', '512', '160', '508', '118', '218', '806', '845', '281', '468', '314', '807', '103', '852', '685', '18', '205', '775', '234', '78', '764', '183', '774']
['237', '896', '489', '239', '946', '788', '195', '50', '834', '699', '811', '399', '476', '567', '260', '12', '526', '74', '464', '631', '940', '733', '154', '39', '912', '604', '197', '380', '564', '177', '202', '921']
['611', '467', '452', '199', '812', '850', '146', '795', '23', '363', '122', '504', '99', '70', '460', '383', '771', '310', '65', '308', '107', '80', '143', '88', '36', '441', '881', '52', '537', '96', '724', '358']
['846', '395', '254', '624', '644', '619', '258', '518', '142', '585', '456', '556', '387', '303', '817', '442', '750', '927', '878', '233', '515', '249', '527', '953', '243', '431', '13', '659', '357', '30', '687', '919']
['832', '652', '42', '490', '686', '24', '531', '5', '11', '709', '90', '292', '729', '38', '421', '944', '546', '111', '903', '463', '960', '353', '451', '694', '294', '458', '913', '287', '890', '629', '770', '860']
['680', '835', '67', '304', '325', '898', '364', '732', '179', '200', '825', '9', '899', '907', '495', '640', '838', '367', '772', '893', '959', '289', '934', '596', '190', '761', '25', '151', '566', '68', '917', '614']
['787', '457', '814', '877', '250', '390', '16', '864', '867', '719', '689', '843', '105', '433', '623', '454', '768', '702', '477', '796', '941', '104', '188', '124', '445', '37', '278', '229', '803', '679', '645', '873']
['453', '902', '150', '708', '145', '488', '929', '379', '904', '77', '780', '830', '318', '264', '557', '389', '473', '408', '748', '568', '683', '224', '320', '657', '606', '869', '191', '97', '836', '809', '883', '208']
['56', '166', '478', '440', '525', '91', '22', '184', '661', '131', '41', '3', '514', '109', '876', '66', '753', '763', '113', '8', '235', '507', '444', '275', '769', '791', '33', '738', '922', '607', '583', '247']
['133', '635', '824', '238', '6', '340', '762', '157', '438', '696', '670', '86', '187', '279', '130', '352', '293', '603', '853', '684', '305', '823', '572', '459', '548', '15', '784', '776', '87', '804', '286', '813']
['728', '236', '499', '760', '269', '668', '597', '532', '436', '578', '539', '98', '165', '643', '373', '925', '427', '856', '196', '751', '55', '544', '403', '571', '866', '945', '486', '648', '574', '918', '228', '156']
['31', '677', '443', '848', '620', '510', '121', '137', '57', '479', '731', '257', '434', '139', '646', '369', '549', '924', '306', '840', '595', '790', '523', '827', '808', '816', '189', '742', '417', '392', '799', '541']
['17', '69', '356', '117', '821', '563', '931', '283', '951', '338', '642', '492', '621', '681', '432', '509', '370', '322', '698', '214', '718', '826', '947', '291', '415', '540', '172', '542', '695', '493', '79', '558']
['584', '551', '141', '262', '261', '593', '448', '939', '301', '833', '535', '282', '173', '285', '185', '715', '288', '2', '307', '839', '274', '76', '376', '625', '64', '802', '198', '895', '844', '820', '870', '71']
['316', '119', '673', '162', '494', '653', '906', '914', '337', '101', '170', '44', '783', '45', '360', '412', '115', '560', '547', '339', '230', '362', '332', '349', '630', '244', '735', '342', '587', '475', '613', '334']
['378', '0', '782', '908', '778', '810', '455', '446', '102', '727', '859', '725', '573', '884', '818', '178', '168', '543', '100', '618', '741', '255', '313', '757', '375', '936', '266', '377', '617', '766', '481', '169']
['391', '562', '705', '616', '406', '637', '110', '703', '785', '381', '63', '123', '470', '351', '602', '700', '561', '213', '942', '221', '471', '734', '627', '675', '26', '506', '949', '737', '106', '865', '219', '327']
['957', '730', '534', '662', '296', '226', '575', '663', '743', '472', '792', '32', '752', '112', '365', '232', '75', '615', '739', '405', '7', '901', '889', '328', '429', '59', '800', '402', '220', '447', '654', '174']
['530', '517', '580', '634', '46', '536', '297', '147', '161', '930', '167', '414', '148', '747', '690', '4', '345', '227', '854', '207', '874', '397', '502', '528', '386', '805', '53', '592', '311', '937', '60', '660']
['347', '650', '591', '722', '186', '425', '40', '194', '600', '271', '159', '222', '418', '324', '533', '938', '879', '49', '396', '461', '409', '721', '897', '84', '280', '928', '132', '34', '756', '354', '430', '786']
