['273', '539', '525', '414', '60', '258', '234']
['380', '537', '104', '256', '188', '368', '105']
['79', '216', '599', '695', '185', '283', '545']
['664', '681', '678', '171', '504', '395', '585']
['382', '40', '247', '699', '355', '480', '626']
['623', '206', '460', '459', '693', '155', '399']
['120', '202', '477', '257', '227', '668', '270']
['210', '340', '11', '313', '461', '298', '589']
['300', '250', '378', '534', '569', '508', '601']
['445', '195', '688', '469', '184', '78', '25']
['383', '111', '180', '99', '647', '132', '93']
['506', '466', '142', '311', '359', '143', '640']
['423', '148', '126', '15', '396', '284', '17']
['674', '642', '101', '474', '418', '287', '299']
['239', '5', '122', '559', '192', '406', '62']
['95', '269', '624', '52', '422', '231', '581']
['526', '484', '348', '169', '630', '153', '342']
['178', '551', '24', '425', '337', '643', '322']
['158', '209', '39', '127', '18', '80', '33']
['129', '644', '437', '259', '604', '289', '221']
['600', '145', '100', '415', '379', '576', '175']
['69', '59', '16', '41', '547', '394', '481']
['134', '116', '550', '389', '457', '429', '212']
['249', '267', '410', '164', '248', '584', '645']
['532', '400', '405', '170', '503', '663', '690']
['325', '211', '215', '553', '381', '465', '376']
['510', '538', '347', '225', '242', '443', '271']
['507', '324', '119', '91', '274', '201', '583']
['618', '639', '19', '408', '183', '156', '636']
['372', '141', '330', '160', '7', '354', '136']
['151', '391', '343', '339', '352', '276', '658']
['582', '527', '431', '633', '501', '23', '683']
['356', '691', '676', '295', '161', '203', '426']
['462', '377', '662', '541', '244', '264', '594']
['121', '196', '252', '490', '565', '564', '238']
['625', '677', '470', '70', '290', '416', '590']
['433', '67', '622', '240', '45', '486', '320']
['570', '417', '629', '149', '561', '191', '346']
['176', '150', '49', '449', '204', '261', '596']
['608', '432', '632', '306', '8', '557', '3']
['669', '479', '464', '118', '598', '575', '468']
['568', '285', '452', '558', '441', '113', '304']
['154', '243', '613', '404', '549', '515', '649']
['328', '96', '430', '157', '562', '107', '4']
['229', '147', '384', '12', '319', '670', '654']
['72', '1', '634', '214', '375', '518', '542']
['684', '301', '38', '446', '502', '435', '92']
['516', '620', '635', '266', '217', '361', '84']
['22', '593', '403', '246', '349', '255', '48']
['472', '198', '303', '26', '659', '182', '335']
['616', '297', '540', '686', '329', '494', '628']
['345', '75', '351', '146', '454', '367', '233']
['179', '485', '442', '680', '275', '385', '232']
['419', '194', '587', '137', '44', '458', '279']
['513', '222', '498', '58', '409', '371', '463']
['260', '73', '280', '358', '241', '65', '500']
['83', '407', '390', '591', '471', '548', '672']
['499', '364', '6', '253', '638', '478', '648']
['679', '64', '112', '656', '223', '245', '365']
['612', '637', '447', '166', '571', '326', '131']
['579', '520', '124', '660', '14', '331', '362']
['218', '698', '9', '53', '533', '35', '29']
['467', '106', '321', '205', '611', '627', '278']
['666', '615', '76', '236', '397', '108', '228']
['614', '535', '90', '97', '50', '428', '631']
['514', '574', '281', '438', '696', '556', '652']
['511', '31', '103', '651', '27', '144', '519']
['128', '566', '555', '334', '309', '344', '71']
['123', '207', '610', '254', '47', '552', '312']
['314', '10', '46', '621', '505', '77', '277']
['51', '109', '529', '308', '488', '187', '475']
['268', '310', '687', '580', '493', '316', '421']
['665', '333', '262', '530', '578', '444', '173']
['186', '398', '473', '57', '296', '219', '661']
['230', '641', '139', '226', '115', '291', '482']
['54', '673', '386', '388', '350', '235', '251']
['168', '272', '544', '224', '554', '523', '682']
['655', '117', '363', '88', '357', '94', '427']
['563', '650', '165', '190', '177', '34', '370']
['294', '98', '302', '509', '318', '200', '199']
['307', '288', '387', '455', '619', '617', '102']
['496', '336', '162', '586', '671', '434', '125']
['393', '451', '603', '110', '172', '483', '592']
['607', '138', '411', '28', '114', '293', '572']
['456', '694', '605', '577', '130', '133', '220']
['609', '32', '197', '602', '528', '2', '606']
['450', '338', '453', '560', '439', '448', '524']
['82', '692', '56', '597', '20', '159', '286']
['63', '487', '512', '595', '68', '237', '374']
['401', '315', '567', '497', '152', '36', '476']
['657', '0', '667', '208', '265', '653', '140']
['42', '43', '685', '305', '492', '573', '181']
['697', '81', '495', '675', '588', '402', '66']
['543', '341', '546', '531', '263', '413', '317']
['193', '489', '189', '174', '30', '282', '366']
['292', '360', '522', '86', '521', '13', '436']
['37', '424', '369', '420', '536', '491', '87']
['55', '412', '61', '74', '85', '353', '163']
['327', '89', '689', '392', '21', '135', '646']
