['935', '542', '433', '280', '282', '822', '206', '319', '806', '537', '591', '212', '233', '355', '261', '82', '986', '872', '813', '475', '127', '532', '360', '408', '987', '502', '995', '406', '494', '203', '665', '697', '775', '41', '656', '289', '829', '106', '23', '573', '316', '35', '883', '271', '53', '110', '764', '215', '796', '572', '832', '491', '314', '26', '272', '969', '628', '944', '946', '466']
['361', '850', '869', '698', '351', '473', '341', '81', '313', '322', '339', '84', '544', '890', '756', '147', '401', '523', '533', '276', '903', '848', '929', '140', '231', '977', '824', '482', '281', '369', '256', '568', '333', '74', '576', '21', '311', '723', '624', '169', '657', '676', '12', '428', '43', '797', '195', '388', '508', '121', '928', '847', '529', '15', '332', '759', '844', '57', '308', '495']
['500', '93', '886', '978', '184', '432', '834', '362', '481', '85', '213', '607', '749', '860', '455', '521', '545', '177', '839', '818', '993', '904', '327', '207', '943', '899', '716', '908', '358', '562', '393', '505', '188', '499', '170', '365', '411', '781', '798', '241', '101', '229', '997', '718', '171', '747', '925', '377', '783', '989', '613', '245', '898', '0', '837', '867', '637', '561', '938', '216']
['666', '119', '77', '321', '335', '317', '52', '387', '191', '467', '423', '197', '787', '584', '814', '888', '390', '896', '459', '895', '985', '741', '740', '68', '560', '445', '927', '345', '489', '569', '702', '750', '536', '973', '970', '726', '70', '214', '587', '402', '631', '461', '616', '556', '580', '705', '608', '415', '454', '226', '948', '593', '876', '47', '772', '109', '856', '45', '25', '163']
['882', '2', '255', '20', '897', '630', '189', '242', '828', '722', '875', '934', '418', '425', '586', '906', '112', '172', '933', '833', '684', '725', '439', '880', '42', '738', '682', '307', '61', '235', '932', '427', '176', '258', '679', '63', '72', '123', '87', '540', '329', '884', '566', '346', '681', '310', '905', '790', '222', '6', '180', '141', '294', '547', '105', '648', '232', '403', '570', '792']
['103', '11', '446', '118', '385', '840', '801', '444', '513', '778', '743', '538', '474', '75', '305', '449', '298', '878', '487', '175', '968', '217', '549', '312', '434', '111', '419', '660', '638', '975', '4', '97', '225', '634', '417', '592', '287', '577', '129', '79', '89', '165', '921', '919', '571', '480', '610', '447', '649', '574', '950', '5', '923', '911', '174', '3', '918', '194', '71', '589']
['486', '266', '838', '789', '704', '609', '983', '384', '773', '416', '846', '680', '984', '204', '128', '268', '746', '791', '31', '988', '559', '102', '956', '659', '596', '625', '737', '465', '866', '730', '658', '557', '760', '643', '354', '795', '83', '16', '864', '652', '699', '251', '971', '149', '318', '484', '94', '10', '511', '683', '238', '774', '391', '672', '614', '632', '115', '153', '92', '250']
['296', '623', '525', '711', '786', '855', '514', '421', '304', '807', '782', '356', '960', '677', '598', '794', '95', '412', '768', '320', '98', '936', '37', '429', '278', '959', '611', '472', '808', '40', '619', '655', '881', '86', '917', '673', '492', '708', '715', '441', '799', '274', '595', '67', '479', '748', '558', '885', '784', '578', '309', '734', '999', '498', '17', '398', '56', '462', '871', '370']
['348', '211', '39', '344', '728', '819', '861', '816', '483', '605', '769', '501', '651', '116', '754', '765', '691', '156', '770', '700', '1', '426', '363', '583', '644', '168', '687', '597', '779', '90', '678', '145', '343', '555', '553', '506', '622', '126', '420', '187', '709', '302', '793', '182', '240', '695', '359', '766', '504', '386', '727', '237', '530', '894', '179', '114', '334', '937', '59', '148']
['350', '535', '227', '621', '524', '60', '519', '131', '603', '375', '199', '46', '372', '209', '292', '125', '889', '173', '29', '827', '485', '28', '267', '290', '645', '253', '851', '669', '510', '347', '389', '413', '160', '931', '777', '966', '331', '404', '159', '490', '780', '947', '964', '239', '981', '604', '144', '863', '788', '717', '636', '158', '64', '453', '965', '262', '653', '868', '458', '852']
['739', '842', '873', '323', '620', '689', '185', '667', '457', '952', '259', '922', '151', '516', '192', '364', '543', '336', '352', '371', '955', '143', '193', '228', '581', '19', '297', '223', '200', '647', '44', '635', '909', '73', '552', '785', '520', '902', '841', '528', '120', '980', '891', '646', '379', '157', '815', '893', '910', '515', '430', '269', '18', '940', '243', '849', '54', '303', '831', '626']
