['619', '830', '77', '588', '657', '919', '98', '104', '783', '237', '718', '31', '103', '92', '163', '447', '800', '149']
['169', '209', '603', '656', '921', '598', '180', '349', '208', '39', '145', '373', '56', '359', '226', '658', '699', '697']
['405', '976', '922', '364', '739', '503', '4', '138', '18', '958', '362', '478', '695', '85', '95', '562', '886', '398']
['724', '915', '995', '87', '114', '383', '702', '284', '43', '720', '676', '847', '974', '270', '346', '682', '938', '444']
['455', '640', '485', '962', '831', '790', '480', '61', '813', '47', '975', '303', '8', '263', '479', '855', '728', '326']
['289', '760', '973', '442', '533', '271', '251', '474', '965', '627', '756', '314', '524', '128', '810', '437', '79', '52']
['966', '521', '136', '151', '283', '426', '565', '823', '512', '140', '926', '903', '428', '838', '797', '735', '964', '950']
['916', '290', '578', '309', '258', '546', '719', '553', '246', '894', '199', '934', '506', '908', '189', '587', '177', '558']
['408', '134', '771', '715', '659', '107', '832', '617', '196', '35', '129', '171', '677', '670', '898', '939', '179', '851']
['870', '781', '631', '495', '190', '262', '998', '224', '517', '331', '625', '232', '76', '66', '897', '738', '879', '982']
['483', '991', '518', '254', '706', '293', '943', '802', '612', '340', '411', '575', '634', '924', '166', '927', '875', '650']
['327', '456', '385', '947', '936', '746', '182', '205', '454', '747', '2', '968', '461', '16', '712', '954', '463', '273']
['489', '710', '846', '223', '406', '65', '142', '413', '854', '295', '874', '556', '963', '336', '7', '452', '481', '809']
['581', '614', '653', '185', '116', '425', '642', '13', '435', '351', '836', '988', '84', '328', '250', '286', '731', '722']
['421', '191', '535', '360', '645', '594', '895', '540', '840', '269', '57', '423', '409', '248', '186', '931', '217', '858']
['234', '542', '161', '744', '33', '220', '608', '347', '206', '216', '317', '376', '350', '453', '306', '888', '648', '465']
['203', '384', '969', '835', '647', '122', '343', '816', '25', '685', '434', '828', '338', '135', '765', '589', '979', '593']
['493', '459', '844', '439', '649', '913', '312', '204', '791', '839', '48', '569', '600', '467', '357', '261', '498', '566']
['320', '22', '310', '937', '987', '953', '561', '233', '229', '883', '494', '559', '265', '90', '805', '361', '714', '325']
['768', '430', '544', '990', '468', '914', '892', '58', '665', '285', '324', '390', '176', '160', '644', '255', '652', '365']
['164', '917', '49', '690', '666', '369', '40', '531', '705', '81', '985', '72', '257', '872', '560', '449', '866', '736']
['370', '945', '253', '59', '266', '713', '38', '646', '267', '678', '704', '758', '173', '628', '597', '427', '856', '769']
['708', '942', '551', '515', '730', '887', '311', '607', '606', '299', '821', '591', '464', '3', '952', '891', '195', '499']
['228', '126', '681', '971', '935', '662', '167', '511', '280', '959', '440', '131', '523', '124', '462', '46', '198', '514']
['759', '803', '432', '655', '536', '392', '230', '672', '378', '876', '764', '127', '97', '113', '42', '814', '688', '909']
['433', '20', '586', '418', '801', '643', '188', '17', '727', '332', '125', '120', '740', '239', '292', '154', '925', '354']
['750', '522', '929', '345', '21', '584', '458', '696', '235', '396', '247', '572', '674', '380', '905', '86', '36', '0']
['857', '779', '528', '818', '276', '762', '342', '70', '733', '726', '692', '62', '778', '256', '630', '225', '264', '893']
['573', '889', '967', '766', '826', '319', '377', '567', '371', '580', '980', '789', '661', '178', '335', '817', '787', '358']
['590', '412', '316', '850', '170', '701', '219', '28', '633', '488', '5', '9', '618', '227', '448', '529', '564', '222']
['732', '108', '639', '822', '748', '637', '729', '910', '675', '407', '721', '130', '99', '596', '944', '240', '337', '776']
