['496', '217', '924', '911', '432']
['396', '47', '249', '779', '326']
['537', '384', '100', '180', '120']
['297', '995', '171', '763', '732']
['601', '808', '439', '413', '465']
['692', '98', '794', '187', '220']
['703', '235', '145', '565', '444']
['319', '754', '593', '928', '659']
['853', '193', '881', '517', '11']
['878', '454', '32', '611', '78']
['573', '883', '819', '728', '186']
['947', '223', '739', '961', '51']
['785', '849', '651', '431', '702']
['876', '528', '503', '269', '956']
['654', '904', '861', '176', '530']
['3', '102', '959', '2', '398']
['792', '597', '141', '856', '482']
['657', '722', '255', '354', '765']
['287', '350', '693', '862', '954']
['907', '531', '271', '986', '311']
['55', '20', '897', '771', '815']
['931', '671', '335', '677', '678']
['280', '381', '971', '906', '720']
['306', '178', '4', '757', '397']
['852', '865', '689', '858', '14']
['45', '203', '165', '370', '844']
['341', '983', '963', '934', '673']
['142', '447', '752', '138', '619']
['894', '596', '54', '214', '22']
['939', '161', '346', '441', '302']
['139', '267', '851', '502', '421']
['796', '715', '824', '836', '407']
['475', '682', '833', '321', '981']
['588', '854', '41', '721', '112']
['227', '847', '8', '756', '12']
['974', '155', '238', '711', '653']
['330', '244', '233', '378', '480']
['970', '514', '373', '879', '473']
['377', '487', '85', '903', '978']
['199', '613', '289', '670', '908']
['577', '784', '571', '551', '809']
['810', '83', '937', '944', '246']
['790', '672', '985', '912', '356']
['935', '274', '948', '29', '79']
['942', '676', '548', '479', '620']
['458', '617', '179', '642', '158']
['840', '909', '857', '896', '37']
['450', '64', '635', '625', '260']
['623', '245', '964', '993', '408']
['589', '361', '114', '705', '349']
['48', '892', '848', '442', '156']
['211', '606', '310', '364', '489']
['910', '343', '344', '641', '250']
['74', '562', '534', '219', '376']
['905', '66', '751', '533', '646']
['86', '636', '499', '159', '181']
['338', '115', '697', '946', '648']
['814', '997', '284', '18', '631']
['457', '262', '776', '409', '535']
['891', '578', '569', '300', '363']
['638', '782', '82', '859', '880']
['329', '468', '494', '281', '536']
['137', '698', '481', '826', '718']
['902', '290', '521', '151', '555']
['242', '793', '734', '340', '368']
['795', '216', '898', '208', '587']
['128', '427', '422', '992', '379']
['445', '899', '25', '559', '873']
['987', '761', '661', '348', '486']
['800', '973', '564', '334', '16']
['210', '744', '375', '365', '50']
['19', '916', '59', '982', '35']
['75', '972', '430', '196', '390']
['470', '33', '866', '355', '933']
['438', '632', '772', '755', '658']
['292', '775', '315', '901', '215']
['730', '103', '15', '639', '538']
['556', '65', '495', '113', '357']
['943', '704', '510', '662', '949']
['6', '118', '147', '913', '474']
['887', '860', '630', '194', '273']
['660', '124', '380', '650', '957']
['221', '914', '358', '741', '545']
['767', '105', '283', '500', '96']
['554', '309', '69', '189', '314']
['224', '716', '679', '136', '614']
['332', '359', '694', '387', '966']
['655', '812', '726', '135', '758']
['770', '463', '225', '713', '618']
['788', '735', '664', '175', '232']
['586', '640', '484', '540', '328']
['684', '148', '188', '425', '542']
['846', '318', '668', '416', '122']
['886', '467', '403', '333', '835']
['462', '456', '23', '885', '561']
['622', '140', '723', '629', '511']
['633', '868', '789', '275', '736']
['801', '209', '841', '43', '612']
['92', '725', '719', '143', '546']
['967', '600', '602', '106', '675']
['798', '360', '666', '576', '498']
['121', '288', '579', '91', '984']
['236', '277', '525', '399', '317']
['477', '295', '191', '870', '989']
['488', '780', '777', '252', '265']
['369', '49', '845', '256', '101']
['822', '10', '701', '222', '700']
['529', '938', '410', '628', '637']
['688', '805', '520', '598', '708']
['337', '541', '88', '522', '243']
['1', '829', '119', '241', '7']
['39', '994', '831', '686', '84']
['843', '212', '745', '560', '111']
['608', '850', '527', '294', '183']
['996', '293', '526', '110', '163']
['634', '201', '583', '228', '680']
['968', '803', '712', '595', '516']
['291', '975', '27', '717', '940']
['366', '391', '382', '170', '386']
['367', '797', '690', '871', '699']
['493', '759', '960', '443', '21']
['917', '508', '240', '813', '172']
['325', '406', '36', '778', '46']
['345', '855', '837', '108', '296']
['773', '231', '524', '234', '710']
['696', '760', '889', '951', '958']
['552', '453', '515', '709', '57']
['31', '953', '930', '627', '5']
['895', '424', '884', '123', '80']
['126', '807', '26', '305', '817']
['667', '519', '838', '192', '414']
['941', '195', '9', '76', '207']
['656', '71', '505', '707', '404']
['301', '286', '742', '204', '644']
['461', '285', '750', '374', '272']
['820', '926', '591', '167', '584']
['729', '769', '774', '226', '116']
['581', '572', '133', '544', '248']
['888', '157', '802', '874', '950']
['616', '34', '816', '624', '890']
['117', '254', '184', '270', '38']
['740', '674', '825', '426', '549']
['504', '900', '70', '550', '781']
['169', '190', '506', '952', '308']
['834', '185', '61', '104', '746']
['469', '423', '762', '791', '532']
['615', '507', '312', '783', '604']
['976', '786', '768', '417', '268']
['647', '162', '955', '927', '323']
['490', '402', '307', '539', '743']
['313', '89', '969', '932', '392']
['97', '828', '513', '44', '182']
['605', '324', '72', '433', '582']
['400', '497', '748', '877', '687']
['923', '882', '68', '747', '95']
['279', '766', '567', '99', '864']
['867', '304', '200', '652', '146']
['448', '869', '988', '415', '389']
['395', '714', '977', '53', '251']
['81', '160', '921', '351', '590']
['695', '920', '52', '446', '585']
['749', '669', '258', '327', '558']
['131', '371', '787', '202', '17']
['435', '342', '764', '575', '218']
['594', '94', '418', '563', '915']
['991', '352', '129', '460', '40']
['452', '168', '93', '198', '263']
['434', '322', '683', '149', '73']
['405', '875', '738', '385', '999']
['727', '945', '568', '276', '205']
['125', '264', '316', '451', '925']
['553', '823', '936', '393', '282']
['472', '483', '459', '518', '56']
['492', '485', '918', '60', '130']
['166', '24', '152', '320', '476']
['580', '990', '259', '872', '87']
['471', '962', '428', '818', '412']
['643', '388', '609', '706', '979']
['466', '67', '266', '645', '799']
['436', '90', '922', '197', '42']
['144', '724', '134', '253', '150']
['394', '691', '501', '592', '213']
['685', '621', '419', '804', '63']
['30', '839', '929', '811', '599']
['547', '278', '13', '610', '626']
['455', '261', '649', '753', '362']
['401', '58', '383', '557', '893']
['164', '919', '830', '0', '298']
['420', '449', '229', '731', '153']
['663', '491', '336', '247', '339']
['206', '566', '132', '107', '863']
['681', '303', '437', '737', '512']
['543', '806', '464', '174', '28']
['353', '127', '257', '347', '827']
['665', '62', '429', '574', '173']
['177', '570', '411', '607', '478']
['440', '832', '842', '239', '237']
['77', '372', '109', '965', '733']
['509', '154', '821', '523', '603']
