['425', '229', '844', '769', '797', '213', '796', '268', '411', '694']
['641', '930', '928', '976', '274', '47', '134', '857', '299', '601']
['801', '921', '761', '617', '324', '166', '852', '663', '952', '14']
['11', '577', '487', '502', '94', '446', '865', '36', '171', '574']
['519', '45', '123', '223', '387', '325', '727', '778', '303', '297']
['189', '412', '841', '143', '476', '27', '672', '190', '226', '800']
['753', '355', '3', '953', '808', '949', '350', '141', '450', '762']
['717', '269', '187', '707', '985', '794', '243', '157', '212', '366']
['131', '931', '748', '107', '904', '997', '418', '103', '345', '228']
['569', '125', '376', '987', '978', '470', '542', '898', '729', '225']
['178', '646', '207', '405', '485', '24', '239', '642', '610', '821']
['721', '817', '454', '177', '13', '252', '854', '140', '38', '977']
['37', '121', '712', '397', '205', '133', '65', '734', '337', '265']
['294', '845', '975', '749', '273', '152', '598', '202', '920', '793']
['811', '318', '32', '249', '839', '840', '906', '344', '699', '89']
['527', '525', '743', '430', '500', '401', '122', '389', '756', '746']
['209', '683', '754', '855', '77', '963', '79', '899', '460', '679']
['338', '153', '406', '653', '872', '232', '947', '46', '834', '716']
['210', '772', '664', '638', '996', '192', '465', '887', '288', '607']
['292', '457', '842', '785', '551', '881', '673', '711', '612', '736']
['560', '912', '491', '575', '706', '700', '83', '291', '341', '604']
['129', '380', '327', '363', '352', '656', '343', '458', '488', '242']
['608', '730', '804', '289', '757', '633', '431', '271', '305', '154']
['555', '689', '176', '669', '627', '377', '820', '16', '960', '31']
['287', '290', '615', '514', '812', '849', '139', '395', '648', '203']
['745', '451', '701', '535', '427', '970', '392', '172', '891', '59']
['137', '752', '473', '467', '5', '882', '495', '792', '68', '443']
['659', '421', '759', '758', '763', '590', '9', '536', '208', '330']
['248', '644', '466', '237', '315', '735', '925', '989', '264', '531']
['266', '158', '322', '335', '603', '684', '956', '862', '66', '462']
['423', '272', '505', '969', '148', '543', '362', '497', '429', '724']
['824', '347', '44', '417', '331', '570', '981', '907', '132', '802']
['101', '483', '710', '933', '280', '439', '261', '791', '179', '967']
['251', '308', '708', '461', '940', '809', '946', '64', '310', '719']
['164', '56', '737', '267', '314', '554', '323', '883', '136', '186']
['214', '655', '231', '703', '914', '76', '219', '557', '935', '71']
['283', '215', '110', '93', '10', '161', '650', '145', '720', '661']
['475', '677', '398', '30', '394', '787', '479', '873', '26', '548']
['480', '201', '328', '195', '983', '184', '866', '665', '998', '375']
['592', '951', '70', '456', '105', '927', '810', '382', '867', '624']
['825', '909', '503', '333', '509', '559', '75', '117', '965', '332']
['974', '222', '626', '160', '964', '339', '304', '357', '582', '596']
['414', '391', '733', '529', '81', '657', '571', '311', '549', '630']
['50', '22', '282', '538', '100', '600', '678', '455', '40', '572']
['714', '58', '442', '838', '958', '836', '57', '356', '562', '517']
['424', '106', '404', '90', '419', '410', '670', '238', '698', '625']
['680', '609', '634', '349', '112', '784', '48', '61', '440', '119']
['381', '674', '354', '17', '230', '12', '830', '908', '104', '900']
['890', '884', '681', '620', '863', '156', '84', '39', '826', '892']
['4', '831', '149', '771', '72', '786', '938', '98', '449', '426']
['715', '777', '206', '966', '628', '378', '501', '566', '747', '676']
['54', '181', '246', '895', '240', '263', '277', '814', '798', '116']
['41', '399', '191', '691', '313', '316', '198', '115', '614', '307']
['781', '114', '233', '629', '819', '662', '731', '236', '496', '919']
['162', '995', '28', '667', '705', '879', '815', '433', '361', '954']
['847', '789', '766', '950', '92', '244', '276', '49', '936', '474']
['319', '302', '364', '647', '594', '510', '695', '632', '459', '764']
['120', '870', '301', '196', '180', '924', '326', '605', '957', '544']
['168', '903', '97', '173', '217', '1', '512', '702', '254', '972']
['564', '685', '371', '666', '359', '532', '163', '235', '19', '859']
['402', '498', '220', '144', '858', '182', '893', '991', '860', '306']
['169', '295', '478', '537', '199', '385', '250', '384', '62', '413']
['611', '167', '471', '296', '386', '74', '843', '109', '216', '34']
['922', '374', '645', '688', '188', '218', '992', '651', '211', '383']
['675', '774', '262', '320', '897', '200', '25', '738', '660', '803']
['185', '790', '85', '124', '861', '553', '584', '595', '35', '913']
['643', '668', '23', '971', '807', '340', '739', '400', '775', '493']
['806', '686', '704', '561', '723', '309', '147', '256', '224', '444']
['765', '234', '540', '127', '142', '379', '415', '372', '835', '942']
['573', '108', '722', '832', '336', '993', '135', '408', '943', '52']
['534', '441', '578', '18', '910', '622', '545', '586', '390', '33']
['948', '227', '816', '55', '980', '329', '654', '285', '591', '51']
['888', '245', '523', '606', '373', '102', '453', '984', '255', '546']
['770', '53', '508', '533', '955', '905', '241', '368', '986', '73']
['886', '520', '113', '636', '138', '298', '492', '396', '726', '526']
['511', '851', '813', '848', '616', '258', '86', '197', '293', '911']
['894', '837', '490', '885', '151', '87', '489', '868', '693', '880']
['563', '773', '823', '788', '63', '896', '300', '88', '597', '279']
['576', '452', '902', '472', '275', '99', '312', '581', '91', '80']
['281', '696', '126', '259', '432', '146', '639', '67', '945', '697']
['515', '518', '853', '979', '507', '43', '805', '671', '522', '932']
['539', '468', '779', '541', '744', '876', '869', '118', '741', '435']
['613', '795', '516', '961', '917', '369', '317', '776', '968', '247']
['346', '941', '658', '334', '464', '448', '78', '619', '652', '875']
['589', '818', '864', '878', '506', '768', '631', '82', '994', '528']
['165', '552', '783', '962', '434', '482', '599', '21', '593', '760']
['128', '828', '438', '437', '60', '407', '321', '999', '6', '469']
['755', '889', '585', '111', '547', '370', '422', '583', '565', '916']
['20', '742', '690', '937', '944', '990', '782', '799', '286', '278']
['635', '253', '69', '0', '96', '420', '550', '740', '260', '713']
['393', '477', '284', '915', '988', '29', '556', '170', '692', '687']
['939', '587', '8', '728', '42', '982', '530', '463', '447', '358']
['621', '484', '959', '521', '486', '353', '602', '618', '637', '388']
['918', '709', '833', '194', '342', '445', '513', '155', '524', '732']
['428', '403', '579', '175', '95', '360', '923', '588', '973', '221']
['15', '827', '159', '767', '874', '850', '829', '367', '750', '725']
['351', '183', '481', '929', '348', '504', '409', '7', '567', '499']
['580', '436', '150', '623', '204', '270', '416', '871', '901', '822']
['682', '718', '130', '751', '877', '856', '934', '257', '780', '649']
