['564', '139', '133', '265', '261', '482', '570', '274', '512', '488', '228', '285', '173', '343', '515', '500', '152', '17', '496', '271', '290', '473', '390', '495', '335', '672', '426', '91', '613', '221']
['611', '302', '50', '209', '530', '137', '462', '350', '18', '388', '686', '175', '150', '168', '315', '610', '232', '22', '92', '80', '277', '259', '595', '660', '308', '115', '525', '606', '627', '44']
['691', '169', '514', '445', '430', '405', '216', '78', '118', '147', '494', '240', '81', '410', '227', '276', '584', '249', '620', '424', '501', '26', '565', '120', '293', '622', '42', '485', '679', '412']
['674', '181', '478', '586', '664', '513', '372', '675', '144', '215', '214', '192', '202', '555', '597', '575', '383', '669', '114', '105', '40', '439', '295', '213', '177', '244', '224', '262', '636', '242']
['86', '327', '618', '36', '375', '373', '51', '263', '537', '448', '579', '574', '97', '14', '377', '19', '387', '531', '68', '459', '491', '330', '647', '465', '502', '649', '658', '409', '694', '693']
['349', '536', '136', '205', '300', '516', '161', '432', '287', '381', '111', '103', '559', '49', '607', '98', '463', '37', '645', '635', '96', '219', '630', '75', '477', '117', '641', '321', '6', '413']
['376', '267', '558', '72', '237', '62', '142', '336', '218', '659', '297', '684', '628', '247', '46', '125', '699', '158', '371', '600', '605', '245', '328', '132', '507', '34', '421', '380', '258', '87']
['625', '522', '193', '294', '591', '616', '27', '153', '172', '578', '442', '569', '7', '453', '440', '355', '393', '255', '506', '532', '598', '685', '623', '90', '688', '65', '518', '154', '594', '185']
['670', '305', '666', '278', '253', '134', '444', '539', '4', '100', '251', '29', '104', '663', '529', '593', '326', '8', '275', '450', '563', '370', '55', '561', '48', '353', '631', '24', '77', '572']
['431', '1', '199', '667', '654', '32', '266', '441', '368', '200', '187', '283', '411', '333', '637', '696', '646', '632', '148', '517', '585', '268', '399', '367', '447', '160', '401', '644', '76', '229']
['634', '671', '352', '451', '252', '408', '299', '291', '587', '64', '365', '360', '2', '519', '662', '284', '165', '206', '319', '472', '174', '560', '116', '341', '648', '236', '527', '331', '163', '534']
['498', '82', '480', '70', '369', '220', '461', '43', '191', '171', '338', '208', '146', '363', '389', '562', '304', '454', '21', '573', '382', '422', '212', '420', '57', '633', '378', '235', '121', '127']
['135', '549', '489', '280', '329', '359', '126', '69', '156', '74', '312', '608', '589', '47', '310', '508', '638', '16', '556', '590', '479', '467', '656', '571', '523', '568', '314', '198', '626', '551']
['45', '510', '423', '651', '545', '128', '526', '56', '339', '437', '63', '323', '288', '435', '122', '196', '357', '436', '379', '223', '520', '612', '39', '94', '112', '5', '481', '337', '653', '107']
['466', '497', '257', '484', '358', '9', '346', '474', '140', '629', '533', '66', '599', '429', '541', '475', '149', '167', '425', '609', '394', '33', '99', '131', '342', '71', '234', '603', '298', '511']
['195', '178', '407', '468', '210', '418', '226', '282', '269', '673', '392', '141', '110', '446', '306', '455', '661', '79', '176', '470', '61', '528', '487', '31', '682', '683', '668', '52', '10', '547']
['617', '417', '458', '250', '557', '344', '58', '231', '581', '166', '203', '652', '676', '243', '476', '254', '692', '544', '398', '188', '85', '548', '414', '577', '655', '364', '222', '13', '12', '456']
['567', '322', '138', '320', '509', '59', '542', '180', '109', '639', '374', '348', '642', '449', '588', '619', '396', '690', '316', '225', '303', '596', '93', '155', '145', '170', '681', '505', '361', '15']
['483', '292', '201', '41', '643', '106', '28', '665', '113', '256', '124', '397', '20', '419', '583', '614', '640', '697', '204', '23', '521', '546', '443', '624', '101', '354', '362', '159', '260', '325']
['151', '233', '164', '30', '270', '543', '119', '108', '366', '345', '615', '592', '217', '490', '332', '190', '427', '123', '53', '695', '428', '552', '238', '434', '386', '318', '272', '402', '566', '604']
['67', '25', '162', '433', '194', '460', '404', '503', '73', '677', '311', '88', '84', '197', '248', '554', '650', '698', '689', '286', '504', '457', '406', '621', '657', '95', '186', '580', '0', '241']
['582', '3', '289', '391', '324', '351', '680', '264', '347', '207', '296', '273', '279', '183', '35', '11', '54', '281', '499', '89', '400', '309', '143', '550', '438', '102', '601', '553', '469', '317']
['340', '313', '83', '130', '385', '687', '129', '540', '239', '524', '576', '60', '452', '182', '416', '384', '415', '493', '403', '535', '301', '307', '678', '395', '602', '189', '38', '356', '538', '157']
