['0', '600', '393', '750', '78', '249', '589', '779', '20', '203', '757', '290', '372', '704', '498', '825', '171', '367']
['241', '659', '140', '666', '650', '892', '960', '686', '946', '853', '295', '721', '641', '580', '884', '403', '177', '787']
['527', '8', '762', '238', '99', '223', '384', '856', '265', '86', '342', '952', '159', '216', '941', '594', '85', '314']
['162', '351', '360', '494', '120', '139', '271', '768', '771', '377', '64', '122', '341', '528', '450', '77', '791', '776']
['289', '102', '36', '794', '681', '410', '912', '933', '136', '479', '240', '319', '440', '837', '84', '55', '741', '353']
['950', '667', '864', '219', '465', '189', '897', '90', '736', '293', '783', '81', '635', '168', '123', '888', '253', '620']
['262', '962', '526', '35', '301', '578', '429', '273', '66', '540', '925', '443', '581', '868', '881', '507', '685', '87']
['234', '822', '624', '285', '366', '543', '88', '640', '870', '949', '210', '760', '958', '639', '727', '326', '283', '457']
['534', '185', '445', '408', '509', '702', '957', '151', '130', '645', '248', '638', '62', '412', '956', '25', '222', '247']
['963', '497', '890', '330', '259', '839', '19', '192', '473', '746', '125', '134', '506', '575', '320', '901', '462', '679']
['658', '463', '978', '43', '387', '154', '744', '69', '876', '524', '599', '689', '871', '535', '368', '850', '764', '688']
['929', '661', '517', '92', '769', '347', '806', '173', '665', '16', '671', '115', '810', '186', '83', '478', '308', '782']
['677', '466', '841', '745', '309', '655', '149', '697', '694', '539', '743', '931', '766', '648', '217', '322', '499', '981']
['132', '93', '500', '17', '70', '215', '22', '797', '617', '89', '198', '585', '913', '34', '164', '982', '321', '987']
['200', '365', '974', '730', '940', '209', '885', '133', '208', '204', '448', '921', '423', '504', '82', '233', '312', '340']
['226', '690', '979', '404', '468', '227', '106', '869', '425', '573', '218', '627', '339', '916', '418', '474', '310', '840']
['875', '438', '355', '260', '405', '647', '811', '135', '503', '370', '27', '161', '483', '243', '111', '436', '144', '72']
['435', '291', '577', '352', '439', '926', '485', '48', '380', '634', '707', '945', '516', '196', '270', '420', '592', '687']
['396', '602', '415', '935', '817', '52', '42', '469', '628', '561', '630', '359', '999', '190', '488', '923', '511', '804']
['430', '595', '713', '194', '846', '920', '596', '59', '664', '709', '449', '188', '476', '157', '281', '522', '944', '328']
['148', '137', '114', '546', '532', '98', '421', '542', '95', '555', '718', '278', '836', '292', '953', '607', '24', '835']
['486', '654', '552', '808', '838', '453', '591', '21', '477', '512', '576', '765', '354', '676', '37', '625', '880', '633']
['335', '236', '872', '395', '571', '802', '719', '820', '626', '751', '774', '843', '859', '971', '441', '392', '254', '414']
['451', '382', '932', '212', '432', '176', '160', '124', '294', '444', '508', '717', '725', '118', '252', '221', '13', '460']
['505', '663', '566', '985', '417', '313', '324', '113', '796', '296', '381', '300', '749', '258', '426', '57', '117', '40']
['914', '178', '763', '427', '214', '515', '329', '228', '211', '740', '50', '959', '411', '758', '145', '590', '484', '712']
['930', '829', '899', '544', '121', '831', '739', '606', '816', '955', '669', '147', '5', '272', '567', '232', '722', '604']
['994', '729', '991', '815', '28', '519', '761', '778', '703', '131', '965', '563', '887', '554', '187', '883', '288', '893']
