['223', '600', '393', '78', '249', '750', '589', '779', '203', '20']
['757', '290', '372', '704', '498', '825', '171', '367', '241', '659']
['140', '666', '650', '892', '960', '946', '686', '853', '295', '721']
['641', '580', '884', '403', '177', '787', '527', '8', '762', '238']
['99', '384', '856', '265', '86', '342', '952', '159', '216', '941']
['594', '85', '314', '351', '162', '360', '494', '120', '139', '271']
['768', '771', '377', '64', '122', '341', '528', '450', '77', '791']
['776', '289', '102', '36', '794', '681', '410', '912', '136', '933']
['479', '240', '319', '440', '837', '84', '55', '741', '353', '950']
['667', '864', '219', '465', '189', '897', '90', '736', '293', '783']
['81', '635', '168', '123', '888', '253', '620', '262', '962', '35']
['526', '301', '578', '429', '273', '66', '925', '443', '540', '581']
['868', '881', '507', '685', '87', '822', '234', '624', '285', '366']
['543', '88', '640', '870', '949', '210', '760', '958', '639', '727']
['326', '283', '457', '534', '185', '445', '408', '509', '702', '957']
['151', '130', '645', '638', '62', '248', '412', '956', '247', '25']
['497', '963', '222', '259', '890', '330', '839', '19', '473', '192']
['134', '125', '746', '575', '506', '320', '901', '462', '679', '658']
['463', '978', '43', '387', '154', '744', '69', '876', '599', '524']
['689', '871', '535', '368', '850', '764', '688', '929', '661', '517']
['92', '347', '769', '665', '173', '806', '16', '671', '115', '810']
['186', '83', '478', '308', '782', '677', '745', '655', '309', '841']
['466', '149', '697', '694', '539', '743', '931', '766', '648', '217']
['322', '499', '981', '132', '93', '500', '17', '70', '215', '22']
['797', '617', '89', '198', '585', '913', '34', '164', '982', '365']
['321', '987', '200', '974', '730', '209', '940', '133', '885', '208']
['204', '448', '921', '504', '423', '82', '233', '312', '340', '226']
['690', '979', '404', '468', '227', '106', '869', '425', '573', '218']
['339', '627', '916', '418', '474', '310', '840', '875', '438', '355']
['405', '647', '135', '811', '503', '370', '27', '483', '161', '243']
['436', '111', '144', '291', '435', '72', '163', '577', '352', '439']
['926', '485', '48', '380', '634', '707', '945', '196', '270', '516']
['420', '592', '687', '396', '602', '415', '935', '817', '52', '469']
['42', '628', '561', '630', '359', '999', '190', '488', '923', '511']
['804', '430', '595', '713', '194', '920', '846', '59', '596', '664']
['709', '449', '188', '476', '157', '281', '522', '944', '137', '148']
['328', '114', '546', '532', '98', '421', '542', '95', '555', '718']
['278', '836', '292', '953', '607', '24', '835', '486', '654', '552']
['808', '21', '453', '591', '838', '477', '512', '576', '765', '354']
['37', '676', '880', '625', '633', '335', '236', '872', '395', '571']
['802', '820', '719', '626', '751', '774', '843', '441', '859', '971']
['392', '254', '414', '451', '382', '932', '212', '176', '432', '160']
['124', '294', '444', '508', '717', '725', '118', '252', '221', '460']
['13', '566', '505', '663', '985', '417', '313', '324', '296', '796']
['113', '381', '300', '749', '426', '258', '117', '57', '40', '914']
['178', '214', '427', '763', '515', '329', '228', '211', '740', '50']
['959', '411', '758', '145', '590', '484', '712', '930', '829', '121']
['544', '816', '831', '899', '739', '606', '955', '567', '669', '5']
['272', '147', '232', '722', '604', '994', '729', '991', '815', '28']
['778', '761', '519', '131', '703', '965', '563', '887', '554', '187']
['883', '288', '893', '315', '492', '193', '834', '53', '927', '894']
['182', '673', '433', '472', '129', '759', '668', '369', '922', '966']
['564', '833', '818', '490', '610', '305', '569', '297', '493', '800']
['400', '939', '284', '652', '672', '422', '989', '906', '826', '510']
['179', '538', '961', '94', '31', '997', '615', '138', '244', '986']
['386', '848', '767', '583', '597', '780', '970', '49', '852', '325']
['452', '65', '206', '495', '720', '832', '96', '172', '844', '299']
['714', '777', '191', '732', '282', '823', '152', '674', '128', '250']
['311', '678', '560', '737', '256', '900', '863', '862', '26', '586']
['533', '904', '251', '878', '166', '437', '698', '264', '530', '15']
['389', '331', '975', '660', '632', '657', '693', '622', '882', '30']
['2', '156', '582', '4', '593', '520', '781', '588', '371', '71']
['267', '559', '513', '788', '724', '14', '855', '343', '919', '174']
['383', '407', '475', '621', '967', '813', '891', '700', '276', '827']
['646', '245', '918', '39', '801', '902', '18', '146', '847', '556']
['629', '984', '358', '323', '603', '413', '756', '908', '447', '805']
['656', '799', '45', '851', '242', '374', '911', '798', '491', '356']
['23', '80', '983', '363', '75', '33', '584', '773', '213', '205']
['279', '879', '553', '74', '525', '938', '612', '536', '523', '793']
['225', '860', '391', '224', '261', '332', '390', '631', '611', '814']
['812', '948', '976', '304', '336', '424', '699', '480', '349', '286']
['684', '58', '775', '547', '682', '298', '618', '934', '202', '67']
['587', '998', '373', '165', '7', '905', '531', '541', '175', '428']
['518', '155', '416', '170', '79', '385', '116', '239', '858', '337']
['715', '821', '230', '803', '394', '942', '907', '988', '107', '459']
['277', '790', '471', '487', '307', '235', '220', '197', '754', '101']
['691', '406', '849', '167', '557', '696', '996', '570', '255', '181']
['705', '973', '909', '482', '454', '32', '609', '501', '735', '734']
['10', '63', '613', '903', '968', '964', '346', '46', '772', '199']
['608', '726', '649', '819', '3', '995', '619', '56', '287', '375']
['795', '470', '334', '357', '38', '419', '529', '207', '61', '824']
['723', '675', '733', '828', '574', '753', '104', '456', '579', '458']
['770', '150', '442', '537', '708', '854', '910', '992', '11', '317']
['928', '73', '183', '47', '41', '109', '562', '464', '830', '280']
['873', '489', '867', '990', '184', '378', '103', '877', '550', '344']
['598', '316', '1', '642', '845', '728', '303', '143', '388', '683']
['943', '857', '275', '431', '29', '786', '951', '636', '110', '748']
['915', '551', '302', '434', '623', '565', '895', '924', '886', '601']
['362', '947', '455', '545', '201', '229', '572', '807', '327', '231']
['742', '866', '153', '980', '644', '653', '51', '237', '616', '549']
['605', '937', '993', '306', '842', '195', '76', '108', '350', '345']
['44', '680', '502', '738', '91', '105', '785', '158', '68', '898']
['399', '521', '747', '865', '112', '972', '861', '467', '126', '361']
['548', '614', '662', '263', '333', '127', '670', '752', '874', '936']
['364', '643', '695', '54', '792', '969', '141', '711', '789', '100']
['481', '461', '889', '954', '142', '379', '917', '706', '514', '257']
['6', '558', '409', '12', '710', '348', '568', '809', '0', '97']
['401', '446', '731', '977', '169', '398', '266', '651', '338', '701']
['269', '896', '60', '274', '246', '402', '180', '376', '318', '755']
['397', '496', '692', '637', '268', '716', '119', '784', '9', '260']
