['0', '246', '464', '235', '416', '738', '153', '42', '94', '723', '189', '220', '210', '784', '750', '7', '393', '420', '388', '245']
['697', '73', '456', '755', '68', '10', '91', '111', '120', '493', '237', '478', '184', '200', '338', '278', '528', '634', '93', '514']
['637', '484', '399', '148', '629', '414', '332', '458', '457', '747', '720', '785', '267', '46', '779', '739', '281', '264', '578', '310']
['67', '524', '551', '532', '706', '756', '573', '365', '152', '596', '28', '206', '796', '549', '170', '88', '701', '56', '35', '485']
['163', '197', '737', '546', '543', '683', '713', '265', '795', '353', '127', '150', '788', '445', '124', '233', '300', '290', '350', '743']
['673', '631', '438', '31', '249', '611', '621', '183', '326', '100', '385', '708', '404', '790', '255', '201', '636', '472', '299', '324']
['752', '158', '311', '22', '209', '341', '372', '376', '369', '272', '545', '274', '383', '492', '608', '491', '467', '24', '336', '256']
['16', '773', '352', '463', '560', '84', '199', '471', '343', '787', '690', '741', '71', '500', '293', '616', '601', '606', '652', '285']
['620', '778', '656', '102', '298', '185', '147', '347', '774', '128', '474', '424', '609', '2', '323', '607', '302', '554', '27', '600']
['297', '559', '190', '333', '651', '214', '47', '682', '654', '177', '447', '78', '304', '374', '155', '340', '751', '534', '389', '63']
['766', '258', '448', '371', '781', '488', '387', '523', '164', '672', '659', '34', '550', '247', '441', '556', '733', '753', '194', '394']
['112', '123', '114', '52', '390', '575', '203', '515', '211', '18', '351', '314', '729', '728', '442', '243', '595', '175', '108', '154']
['329', '215', '707', '614', '798', '646', '434', '141', '760', '327', '695', '363', '780', '674', '443', '166', '223', '792', '81', '77']
['702', '693', '138', '224', '241', '411', '292', '432', '253', '689', '663', '799', '650', '54', '213', '465', '426', '431', '11', '455']
['459', '64', '444', '367', '92', '131', '331', '72', '415', '408', '470', '193', '75', '41', '544', '263', '700', '346', '527', '450']
['466', '516', '192', '521', '765', '486', '709', '735', '687', '505', '570', '658', '577', '721', '122', '639', '710', '479', '61', '655']
['198', '182', '582', '83', '59', '648', '344', '657', '234', '512', '439', '469', '277', '498', '630', '782', '13', '242', '517', '665']
['317', '384', '229', '236', '588', '397', '48', '98', '360', '69', '313', '218', '576', '80', '451', '126', '103', '714', '643', '613']
['357', '373', '364', '133', '187', '430', '188', '461', '662', '510', '717', '280', '110', '692', '597', '539', '232', '776', '525', '161']
['65', '244', '468', '632', '496', '401', '565', '403', '667', '37', '115', '57', '476', '513', '769', '409', '422', '535', '315', '610']
['668', '32', '8', '633', '216', '711', '647', '55', '174', '109', '283', '623', '734', '617', '116', '604', '146', '454', '628', '537']
['44', '212', '583', '446', '740', '599', '453', '366', '219', '675', '99', '3', '511', '433', '259', '660', '419', '767', '507', '168']
['716', '718', '746', '53', '173', '362', '252', '396', '598', '275', '380', '541', '615', '592', '303', '231', '74', '85', '520', '392']
['726', '557', '590', '530', '402', '130', '294', '62', '619', '134', '669', '691', '518', '359', '405', '440', '23', '783', '428', '205']
['257', '574', '569', '761', '681', '291', '423', '412', '361', '589', '684', '670', '715', '594', '406', '410', '15', '725', '50', '562']
['9', '6', '295', '379', '179', '477', '395', '558', '664', '151', '742', '483', '475', '791', '522', '381', '759', '196', '437', '345']
['307', '308', '452', '797', '519', '226', '105', '736', '579', '763', '624', '436', '266', '666', '487', '561', '118', '5', '12', '777']
['794', '678', '731', '159', '571', '217', '282', '135', '462', '413', '481', '642', '19', '356', '58', '676', '228', '178', '21', '143']
['653', '593', '704', '129', '375', '171', '508', '119', '202', '145', '208', '149', '286', '107', '270', '349', '49', '400', '526', '144']
['261', '429', '334', '325', '552', '339', '269', '506', '305', '186', '698', '754', '167', '321', '680', '38', '382', '622', '495', '136']
['157', '137', '191', '101', '89', '140', '322', '230', '764', '531', '585', '227', '370', '271', '17', '745', '772', '638', '320', '160']
['204', '417', '106', '775', '694', '342', '661', '319', '172', '502', '29', '180', '337', '254', '497', '490', '501', '771', '279', '679']
['86', '162', '625', '584', '354', '567', '222', '504', '132', '533', '727', '284', '686', '51', '358', '309', '744', '398', '503', '273']
['312', '591', '566', '580', '770', '509', '318', '555', '39', '82', '449', '355', '301', '732', '169', '378', '547', '671', '113', '377']
['296', '87', '221', '348', '60', '536', '96', '482', '644', '435', '618', '121', '79', '66', '104', '730', '117', '335', '553', '627']
['705', '685', '626', '568', '391', '640', '20', '612', '368', '239', '260', '460', '758', '207', '703', '548', '90', '572', '696', '142']
['238', '288', '330', '724', '43', '407', '789', '641', '4', '635', '722', '768', '139', '421', '602', '473', '757', '542', '36', '386']
['328', '95', '14', '688', '40', '587', '793', '712', '125', '581', '749', '70', '195', '289', '427', '677', '76', '605', '494', '276']
['480', '262', '645', '719', '786', '251', '165', '316', '418', '529', '45', '499', '240', '540', '538', '306', '250', '181', '156', '287']
['1', '649', '564', '603', '25', '26', '33', '248', '425', '268', '97', '30', '225', '762', '586', '699', '748', '563', '176', '489']
