['1', '2', '3', '4', '5', '6', '7']
['8', '18', '27', '20', '12', '11', '24']
['15', '16', '9', '32', '31', '19', '10']
['17', '25', '33', '34', '26', '21', '28']
['30', '29', '23', '35', '22', '13', '14']
['36', '37', '38', '39', '40', '41', '42']
['43', '44', '61', '65', '54', '59', '53']
['46', '51', '57', '47', '45', '64', '50']
['67', '48', '63', '55', '69', '68', '58']
['62', '49', '60', '56', '52', '70', '66']
['71', '72', '73', '74', '75', '76', '77']
['78', '86', '99', '83', '94', '90', '101']
['89', '92', '84', '85', '98', '100', '91']
['80', '103', '82', '102', '97', '79', '88']
['87', '95', '96', '105', '93', '81', '104']
['106', '107', '108', '109', '110', '111', '112']
['113', '117', '127', '136', '132', '124', '115']
['137', '131', '135', '140', '139', '126', '120']
['130', '134', '129', '133', '119', '123', '128']
['125', '114', '121', '122', '138', '116', '118']
['141', '142', '143', '144', '145', '146', '147']
['148', '149', '167', '162', '150', '168', '153']
['173', '157', '165', '159', '155', '175', '154']
['156', '174', '164', '152', '160', '151', '171']
['169', '170', '172', '158', '166', '161', '163']
['176', '177', '178', '179', '180', '181', '182']
['183', '184', '195', '198', '190', '189', '210']
['207', '191', '199', '193', '204', '202', '196']
['206', '187', '185', '188', '208', '200', '192']
['201', '194', '209', '197', '205', '186', '203']
['211', '212', '213', '214', '215', '216', '217']
['218', '219', '224', '244', '241', '235', '222']
['243', '220', '239', '233', '234', '238', '240']
['242', '245', '229', '236', '231', '230', '227']
['228', '237', '221', '225', '226', '223', '232']
['246', '247', '248', '249', '250', '251', '252']
['253', '279', '265', '274', '259', '266', '276']
['262', '267', '260', '256', '264', '277', '281']
['275', '273', '258', '263', '268', '255', '270']
['261', '280', '278', '254', '269', '257', '272']
['271', '282', '283', '284', '285', '286', '287']
['288', '289', '292', '291', '302', '297', '314']
['300', '309', '310', '304', '312', '315', '295']
['306', '303', '313', '293', '294', '301', '298']
['307', '296', '308', '299', '311', '305', '290']
['316', '317', '318', '319', '320', '321', '322']
['323', '335', '351', '332', '333', '344', '336']
['350', '330', '331', '340', '329', '343', '326']
['346', '342', '345', '327', '338', '328', '348']
['347', '349', '324', '334', '337', '341', '339']
['325', '352', '353', '354', '355', '356', '357']
['358', '383', '382', '361', '368', '367', '380']
['384', '379', '360', '371', '370', '365', '385']
['373', '375', '364', '381', '378', '377', '359']
['363', '372', '366', '376', '369', '362', '374']
['386', '387', '388', '389', '390', '391', '392']
['393', '394', '399', '414', '411', '419', '412']
['401', '416', '403', '406', '396', '410', '418']
['398', '409', '420', '415', '408', '413', '407']
['397', '402', '417', '404', '405', '400', '395']
['421', '422', '423', '424', '425', '426', '427']
['428', '429', '432', '436', '433', '442', '445']
['431', '455', '439', '444', '447', '438', '448']
['451', '449', '434', '441', '450', '437', '430']
['454', '440', '452', '435', '443', '453', '446']
['456', '457', '458', '459', '460', '461', '462']
['463', '479', '464', '468', '480', '487', '465']
['467', '469', '476', '481', '470', '471', '477']
['488', '483', '475', '489', '478', '466', '473']
['472', '486', '482', '485', '474', '490', '484']
['491', '492', '493', '494', '495', '496', '497']
['498', '499', '515', '511', '507', '504', '512']
['513', '503', '524', '517', '523', '520', '509']
['500', '522', '508', '518', '510', '516', '502']
['521', '519', '505', '506', '501', '514', '525']
['526', '527', '528', '529', '530', '531', '532']
['533', '534', '545', '553', '554', '559', '548']
['551', '535', '540', '538', '541', '560', '558']
['557', '555', '544', '550', '556', '549', '547']
['537', '542', '552', '546', '543', '539', '536']
['561', '562', '563', '564', '565', '566', '567']
['568', '569', '574', '584', '582', '589', '594']
['572', '595', '571', '578', '592', '588', '591']
['573', '580', '576', '585', '590', '593', '586']
['587', '570', '581', '583', '575', '577', '579']
['596', '597', '598', '599', '600', '601', '602']
['603', '629', '624', '625', '627', '626', '607']
['622', '605', '608', '612', '630', '610', '615']
['611', '621', '614', '616', '623', '606', '620']
['613', '619', '617', '604', '628', '618', '609']
['631', '632', '633', '634', '635', '636', '637']
['638', '639', '655', '660', '663', '650', '640']
['645', '648', '651', '654', '665', '642', '641']
['647', '649', '659', '643', '646', '652', '664']
['653', '656', '661', '662', '644', '658', '657']
['666', '667', '668', '669', '670', '671', '672']
['673', '674', '675', '679', '680', '681', '685']
['689', '684', '686', '682', '696', '697', '690']
['676', '700', '694', '691', '688', '695', '699']
['687', '692', '683', '698', '693', '677', '678']
