['0', '246', '416', '862', '220', '94', '784', '750', '973', '7', '388', '697', '910', '68', '10', '111', '478', '184', '200', '93', '514', '879', '484', '399', '148', '886', '629', '979', '332', '458', '957', '747', '267', '739', '905', '524', '706', '573', '909', '152', '796']
['968', '88', '852', '701', '35', '737', '546', '893', '353', '795', '127', '150', '841', '445', '233', '300', '290', '853', '996', '249', '611', '183', '100', '951', '708', '201', '299', '324', '752', '158', '22', '209', '341', '372', '274', '383', '917', '492', '608', '491', '24']
['336', '256', '812', '916', '773', '199', '471', '991', '500', '293', '616', '601', '652', '285', '778', '919', '102', '298', '147', '774', '128', '474', '424', '609', '2', '607', '302', '27', '600', '297', '333', '651', '214', '682', '654', '177', '447', '304', '78', '340', '801']
['751', '960', '766', '258', '448', '371', '781', '488', '387', '164', '659', '550', '556', '733', '821', '394', '847', '114', '390', '575', '203', '515', '887', '18', '351', '930', '314', '728', '442', '243', '154', '858', '823', '434', '141', '327', '839', '695', '817', '674', '780']
['443', '166', '810', '77', '138', '702', '432', '241', '411', '689', '650', '54', '213', '970', '465', '426', '11', '455', '985', '367', '974', '72', '864', '408', '907', '470', '900', '922', '41', '346', '489', '450', '833', '828', '765', '486', '709', '735', '505', '721', '639']
['479', '61', '182', '582', '83', '895', '954', '59', '344', '978', '234', '889', '826', '469', '277', '630', '242', '665', '517', '948', '384', '236', '397', '588', '313', '576', '643', '714', '357', '613', '373', '364', '133', '430', '188', '662', '878', '924', '110', '232', '525']
['244', '468', '632', '667', '115', '57', '769', '315', '610', '633', '216', '283', '623', '809', '604', '537', '881', '876', '947', '850', '840', '446', '219', '911', '99', '3', '511', '433', '660', '419', '767', '507', '168', '716', '746', '173', '923', '252', '396', '866', '380']
['592', '615', '303', '74', '85', '520', '874', '825', '726', '557', '530', '402', '130', '294', '62', '619', '804', '134', '518', '359', '23', '783', '205', '257', '971', '820', '761', '291', '423', '412', '684', '972', '670', '959', '846', '50', '562', '9', '964', '477', '958']
['913', '664', '151', '522', '381', '437', '308', '986', '519', '226', '105', '579', '963', '436', '666', '487', '561', '118', '777', '678', '731', '571', '217', '413', '642', '931', '19', '356', '992', '58', '980', '676', '228', '897', '704', '143', '593', '119', '145', '208', '927']
['270', '400', '526', '144', '552', '305', '698', '885', '321', '806', '680', '622', '908', '137', '906', '101', '89', '322', '230', '585', '271', '17', '204', '320', '160', '417', '873', '106', '342', '694', '661', '998', '29', '180', '254', '937', '497', '490', '819', '771', '86']
['162', '354', '504', '533', '827', '727', '358', '744', '890', '566', '591', '770', '318', '555', '816', '82', '449', '355', '547', '113', '377', '835', '867', '348', '536', '60', '834', '435', '618', '121', '79', '104', '956', '117', '335', '627', '861', '553', '902', '685', '391']
